track_id;track_name;track_artist;track_popularity;track_album_id;track_album_name;track_album_release_date
3QEqBKFS8boYIAELBcHUnj;Yeshua + Só Quero Ver Você (feat. Marcelo Markes);Gui Brazil;41;4qzveuyWchP5wpVZ6PKm3O;Yeshua + Só Quero Ver Você;2018-03-16
5d1fRO6RYAtbPPgbpSHnlA;Anti-Everything;Lost Kings;70;6Z0dLHgtpQBXnnQJ0Ykott;Paper Crowns (Deluxe);2019-01-18
7ce20yLkzuXXLUhzIDoZih;Before You Go;Lewis Capaldi;90;0488X5veBK6t3vSmIiTDJY;Before You Go;2019-11-19
6mQpBTqZ2Q10lJmds8niP7;Dive In;kwassa;0;34cvNPdYlONaQ0n4lEMYHW;Dive In;2017-03-03
1pv56nYCgJLR0qLdO5Ns54;About You;CCIITTYY;48;6NTHQHcReVe9UnOtRe0mNB;About You;2019-12-13
5vywtoD7fO1CP0B2wtm6I6;Control;Janet Jackson;44;7GWkceE5McMVfffd1RGL6Y;Control;1986-02-04
3y4YUioQQVCZriM2RjZIik;Mixed Messages;Big K.R.I.T.;51;6vGEX2ejVVsHTIsqI1teZg;4eva Is A Mighty Long Time;2017-10-27
6AaeSJvLxywnQAKmJeGoWF;No vuelvas;DrefQuila;44;17suWo5jEaWb4Bq7q8RCFS;AQUA;2018-12-14
54s7NH3Lnu8nlrX08VPwFI;Hot For Teacher;Van Halen;7;6x2n6wj3WvkRi8J8gxEcF0;1984;1984-01-03
3dbZ20KRvbye5m9bd9NWtj;Dream ship;DJ RYOW;36;70V9yuVZKIXSsdhCOJSA8w;Dream ship;2019-03-20
0J6PbnvCKcBWhnPzN2IBId;Die Young;VÂN SCOTT;40;6Uz7qwsN20RVPCkSBcoqug;Die Young;2019-11-01
2cooNqkhh52uvZJeHTHUm4;Who Do You Love;The Chainsmokers;11;31e3OuAblyNxtJN8JnDyiz;NOW That's What I Call Music!, Vol. 70;2019-05-03
7CVYxHq1L0Z4G84jTDS6Jl;Don't Look Back In Anger - Remastered;Oasis;63;6ozp33PI3p9AdddB6ZL3xQ;(What's The Story) Morning Glory? (Deluxe Edition) [Remastered];1995-10-02
3dAxzv7hkxipbuWJaOMzAl;Burn the Witch;Radiohead;45;2DCzgO12HyMeGxoQlbtvQV;Burn the Witch;2016-05-03
5J1c3M4EldCfNxXwrwt8mT;Traicionera;Sebastian Yatra;8;1TnP5HDR6fxVZBIGZq6DgO;Traicionera;2016-06-24
3f6rlmQJ5pumaycQCbTPIk;Slow Mo 3;Leozin;56;4BdQgIfAKDKf392lMjRf3t;Slow Mo 3;2019-12-06
78G01XpFmRAOGE4o8KFlzD;Хлам;Chester Nebro;36;0lce0VW85jEAT1IqrLfFs8;Хлам;2019-03-29
6iGSLWmAj6E4GGnSzLxBJf;The Gangsta, The Killa And The Dope Dealer;Westside Connection;49;3llZpeXGCVbJN51XZMhFYh;Bow Down;1996-10-22
5xka4Z5fOoXt0v9Qxpzh6t;Hey Mr. D.J.;Zhané;1;3MujOMNrkr5xtpsFHc1lzD;Pronounced Jah-Nay;1994-02-08
0vM2JGnMt1wBsufvvVrgDi;Bitch Please II;Eminem;0;04Xgxe2lRRSK9MN3xDt16s;The Marshall Mathers LP (Explicit Version);2000-05-23
1IJXwbwbldrL3Cb39WHEJZ;Girl Don't Make Me Wait;The Whispers;9;3m6teYhTYkU2emsaNzaQOC;More Of The Night;1990-01-01
4Sdp10fc5XgHxL1VaiMVYN;Inside Out - DubVision Remix;The Chainsmokers;35;0esxMkxlIDKbkWL8Vuj35V;Inside Out (DubVision Remix);2016-07-15
2KJqiS9F000M9oG7d1Fm47;Once Now - Radio Edit;Rewind;20;0PVziItKeq4WaiarIR2xsw;Once Now;2020-01-01
7mzP1H0tpLX84LJbpJtD9D;Mockingbird;Dylan 'N' Alice;10;4imBHRZB5OVpwKzXuObabj;Dylan 'N' Alice;2018-07-01
57ogj5vevbzdRtC8Ng2Rtx;Sin Ti;Alex Zurdo;53;5cuqDgBJPMEWLjfbxnexp4;¿Quién Contra Nosotros?;2018-08-17
3aRiplMITqwiQdqxm4gXl0;New Jack Hustler (Nino's Theme);Ice-T;45;08Bjvwbg1cFsFfXSdhG23I;O.G. Original Gangster;1991
1UIutH0tnqnflhUat1Q6Bz;My Shadow;Clubfeet;0;6KVCHAaSoM6MfMKxF2fZQ8;Heirs & Graces;2013-09-02
7bIQeY33PkduZRmR3h9BIY;Lola - Remastered;The Kinks;57;2R0lR3exaV33RnKob1WebK;Lola Versus Powerman and the Moneygoround / Percy;1970-11-27
4Ao4XHlqBTKsCil8R6e8fD;Hexada;Ghostemane;55;4pzCKSWYNM2yUWrNvycC6e;Hexada;2017-09-05
7IDKIfRltN07TdsdTVtRHh;All Over;CRUISR;54;5Y4IZySK48REQg8jUcwq2g;All Over;2014
0TF3F5Lw5apoD1zvR8LikO;Jessie's Girl;Rick Springfield;63;7bVG2FiRaUwDyzlOFxVX9i;The Best Of Rick Springfield;1999-03-20
1RkOJtrrYNeF5DLVtx0CG4;Kobe;Chief Keef;46;6VML3yX1WR5pXtg6fmwdzZ;Finally Rich (Deluxe);2012-01-01
6NkGl2nBsVpQcxvXKg5dvq;Pixelated Memories;Pandrezz;42;3w3r4NKZpydiHCWb2qJfwe;Pixelated Memories;2019-06-13
0fea68AdmYNygeTGI4RC18;LA CANCIÓN;J Balvin;91;6ylFfzx32ICw4L1A7YWNLN;OASIS;2019-06-28
7smCjIc7MoUM4ay55LQrdu;Rock Star;Hannah Montana;52;3BdqKi8c48NUvZ7ppk3wHV;Hannah Montana 2 / Meet Miley Cyrus;2007-01-01
3rDvnBhpYg0pwViWJnNvNb;Who Would've Thought;Green Tea;0;1r4mgGFAqpbQpZiPSAlyas;Dosage II: Choices;2008-09-24
3P6fS71hWhZvOnnxQojJ0Z;Mentirosa;Mellow Man Ace;42;3jZUAzlDcrJMaL9EXK51aP;Escape From Havana;1989-01-01
2dpaYNEQHiRxtZbfNsse99;Happier;Marshmello;89;78EicdHZr5XBWD7llEZ1Jh;Happier;2018-08-17
59VfSMPf55wSYTdZjQCHN6;Taboo;Don Omar;1;0LH4eSAO6N1tIR5FFE5k6A;Meet The Orphans;2010-01-01
12G1TYIfbpvC0mdFFn4Pbg;Dopeman - Remix;N.W.A.;50;0Y7qkJVZ06tS2GUCDptzyW;Straight Outta Compton;1988-08-08
30MFmjElHOCOhfu6q48Wtv;That Girl;MJG;32;4STVxbfMS9crOWLjjr3ql9;No More Glory;1997-11-18
5C9n2A1V6nNyZY9DhOZTue;No Es Justo;Xcelencia;50;5V0uR0LIY0yEPRPMnEiyUX;No Es Justo;2019-11-22
0g21KZ1XJuhwexWPLpuEt1;You & Jennifer;bülow;71;1gZ3Wi966cliRIktXiaWij;Damaged Vol. 2;2018-06-08
5WHTFyqSii0lmT9R21abT8;Don't Call Me Up;Mabel;85;0syM7OUAhV7S6XmOa4nLUZ;Ivy To Roses (Mixtape);2019-01-18
7C5XOHS3FXH8PWbAB9WdWS;Stutter - Double Take Remix;Joe;41;2hwM2z7y5OWRkCZ9cPaOLq;Greatest Hits;2008-10-14
6eTttws0dMm4TijCy3YRC4;Dream Boy / Dream Girl;Johnny O.;0;3qKT6zR8fmblbWhQJlfRSi;ALL THE HITS;2005-07-26
5Hroj5K7vLpIG4FNCRIjbP;Best Day Of My Life;American Authors;76;0V4laGZGshNCpurfIdUhHv;Oh, What A Life;2014-01-01
59oP06RoBps6bvbvSQ1Zee;Swish;Mike Stud;66;2kNenbLKTv6Ip65v6nWmF0;These Days;2016-01-12
3CSpzkoL1XgDBZ1q9aDCUV;Uptown Girl;Billy Joel;68;7r36rel1M4gyBavfcJP6Yz;The Essential Billy Joel;2001-10-02
3KekO5WUfJsh7kYU9o2w50;Atrévete;Nicky Jam;58;06HFdHnekZil7Rl5WdqAiK;Atrévete;2019-08-02
3XNgsPXO4e9rrR17sj8xAm;Bobslee;Merdan D;27;4A3rfOFS7HZzsf0f8c0OS6;Bobslee;2019-02-15
64yrDBpcdwEdNY9loyEGbX;21 Guns;Green Day;75;1AHZd3C3S8m8fFrhFxyk79;21st Century Breakdown;2009-05-15
0HRSsZiisdMuUrWhzb8ewK;Bout Me (feat. Problem & Iamsu);Wiz Khalifa;43;5S4SuPHbaozi5PDedAONTG;O.N.I.F.C. (Deluxe);2012-12-04
2TD9wVSR6dKi7R0arHRFWT;The Sideshow (feat. Ernie Fresh);DJ Shadow;0;2OW3iDsmS98lTqgta5Zv0O;The Mountain Will Fall;2016-06-24
12MDB5ARcX4wYVS1RnnRA1;Disco Inferno;50 Cent;0;1jbowZlOPLltZHWGditXkI;Candy Shop (International Version);2005-01-01
0FDzzruyVECATHXKHFs9eJ;A Sky Full of Stars;Coldplay;78;2G4AUqfwxcV1UdQjm2ouYr;Ghost Stories;2014-05-19
6V775dYuMO5BKjo9C3nhqL;Sara;Starship;38;1iUToID4xbYZLLdfr82goF;Best of Starship;2010-06-22
0AA6zq5ArZ1sSH7VIMi4NK;This Is Why I'm Hot;MiMS;57;42c0PgLPx6qRCZCzB8d7Pk;Music Is My Savior;2007-01-01
7uYl7xgDeAOHP98obvrJvB;Who Knew;P!nk;69;6WlnnRa9jAPXhZEbvBvdxB;I'm Not Dead;2006-04-04
18pFjD6zwF9OculQkB9YCW;Killa;Kaan Pars;47;1X7p6Pdbh4dbPkkMp96DcW;Killa;2018-03-03
0XPZzPRsYxxsVQCQYb6IEH;"Motownphilly - 12"" Dub";Boyz II Men;15;7JnLsJWNUf50DGZ5JhBgbO;Cooleyhighharmony - Expanded Edition;2009-01-01
5u5MvmVtitax9R1Mxh3reC;Dile Que Tu Me Quieres;Ozuna;72;4s05NbwGgw5SO42AdsN5Oo;Odisea;2017-08-25
77NNZQSqzLNqh2A9JhLRkg;Don't Stop Believin';Journey;74;5pfpXvoJtSIFrbPIoBEv3R;The Essential Journey;2001-09-19
39Gb80bu5xF0rQtAxTxUS1;Me Voy Enamorando;Chino & Nacho;51;6JRDbgNUSL0I38UMocyBS1;Radio Universo;2015-05-05
6uaVCl05ErStzx4alj2Qeq;Spray (feat. Tyga & YG);Sneakk;48;7gQkrvT4DwU7fmGwC5M5x5;Spray (feat. Tyga & YG);2018-12-07
6O1tLGD9D6TDW3Py6Gw4lX;My Cherie Amour;Tony Thompson;19;5nKvQo4wIY7V4rhnFNrqBB;Sexsational;1995-06-23
6u8epWzzk3CsJ05sqExF6T;I Could Get Used To This;Becky Hill;64;7zprQiHCzlyXnqKbkfCUTs;I Could Get Used To This;2019-03-29
5Uf6OfGfz436zAegn1kui6;Sunday Bloody Sunday;U2;9;1WupyTEE8twuMK5iEoBcm2;The Best of 1980-1990 & B-Sides;1998-10-01
4OLNZ3wmdoMpAjlIXsEEBV;Tear You Down;Clawfinger;42;1UiqSdb6MYn4kI5Q6AXfCN;Tear You Down;2019-10-04
6h3NfvlWed8jwv1xECzQE4;Crush;Beckett;37;0BqlMoauOZmhtKbVZ5Dlhc;Primetime;2016-12-24
2BzxBQSZ4KERJvuNpeJatT;Groove Me;Guy;0;1YdBErZFamsw1pCAAAED5q;Guy - Special Edition;1988
6MZYWdxGka0BnG3KYO739d;I Don't Feel Real;Patternist;36;4xmrb6kQ1X0ftdb2Xe3Cwd;I Don't Know What I'm Doing Here;2019-09-06
6QDbGdbJ57Mtkflsg42WV5;Hot for Teacher - 2015 Remaster;Van Halen;67;3REUXdj5OPKhuDTrTtCBU0;1984 (Remastered);1984-01-04
5C0ivQMxes2lWuOANhvVAm;GIANTS;True Damage;77;1hK1lKNTYUM4wYRIY19CRO;GIANTS;2019-11-10
1e9oZCCiX42nJl0AcqriVo;Watermelon Sugar;Harry Styles;90;659e2eKbsMH0vYCs5qgFmy;Watermelon Sugar;2019-11-17
6pqawkYEUzzuKve6QNfBaT;Sultans Of Swing;Dire Straits;9;2BPgOlvV3aTHJ7av8LhGn5;Sultans Of Swing - The Very Best Of Dire Straits;1998-11-10
1ESuT2y9AKu1zMdxq47qW5;Sleeping Bag;ZZ Top;46;1YRTFKHD0QDO2QAKvU4mLz;Afterburner;1985-10-28
1gNrhuOhbyF2YPuFQPvDob;Colours;Age of Consent;39;63fPXLpTxvDR7LgSOZIaly;The Music of Grand Theft Auto V, Vol. 1: Original Music;2013-09-24
0fUeXvuwXDKRNqvrxveHWF;Travelin' Man;Albert King;1;01SDKB7wiuxAQJ51wPV8Aj;Stax Classics;2017-05-19
1x1tGzVEM8m3cPVcn5lXHw;Too Close;Sterkøl;45;2Ir2giLTqUMxjfakNlbSkF;Too Close;2019-09-06
33tNYw9oMtSkGe27NpgS64;WORKIN ME;Quavo;64;4XgTZqi7b25HmhO4wxrpWB;W O R K I N M E;2018-08-10
3HVWdVOQ0ZA45FuZGSfvns;I Don't Care (with Justin Bieber);Ed Sheeran;90;5Nux7ozBJ5KJ02QYWwrneR;I Don't Care (with Justin Bieber);2019-05-10
5FKaV2J0xiwRENDsl0bMn4;25 Bucks (feat. Purity Ring);Danny Brown;51;5SC0415RIGVX9ZfL0tfbAl;Old;2013-10-08
5PsMbxhgWpJMsouEfDTX6r;Locked Out of Heaven;Bruno Mars;43;3oP7uWUlDux6jlHTRlu0FC;Locked Out Of Heaven;2012-10-02
48ZUwXrEOhaXLCxvmRYhZv;Don't Sweat The Technique;Eric B. & Rakim;53;5iaxBk4qVHAMp9vtYSoEBM;Don't Sweat The Technique;1992-01-01
27NMijOsYBVeU4RTQoCfE4;Choose your Poison;Wiwek;27;7tGNMJ8LL9pBbxfySrAZ1S;CYCLES;2019-04-10
1S7hEPenrIVKVTuEjtXKz9;Letting Go;Hogland;66;6veielpwGAJ4FKG7w3q69H;Letting Go;2019-06-07
2TrzgfBaSP387EEFDgG4FW;Verano Azul;Juan Magán;1;6GxHVUwxvviiCffH7coRPC;Verano Azul;2009-01-01
0EJlpO8Z5Vqy4phgcqU84V;Paradise;Matthew Parker;32;0YFwILd7BfZdEimIslxHse;Daydreamer;2018-10-26
6cfvxVx2PZFSFeghhmciy6;Damage;Ol' Dirty Bastard;37;4tI4WJdTN5MzDMRMl2i7VR;Return To The 36 Chambers: The Dirty Version;1995
17vw87cdrPSRkeB565wJH5;The Map;Seyon;8;6XD17SQvYYlooF5HVFie06;The Map;2018-12-19
2Up5Gs5EJeAPeR3Ce5Aspi;He Got You;Ronnie Milsap;41;0fwjRFRzp9GeNSBpRzkiOs;Inside;1982-05-01
7xKNLe9qqIIEW3I83x4crd;Reckless Life (Original Demo Version);Hollywood Rose;44;6E6oQSkNxtiGyVGRgDJi2S;The Roots of Guns ‘n Roses;2004
52NDiMzHuel7dLzcUqcmJd;Fat Sumo - Original Mix;Rene Rodrigezz;0;1VmmIVxmzDFj7oLjRq1irc;Fat Sumo;2014-01-31
7lPYeA9mG7nsokze71Da2L;Stampede - Major Lazer x P.A.F.F. Remix;Dimitri Vegas & Like Mike;25;16Uta0RHvIKPAAtP1LIPF5;Stampede (Major Lazer x P.A.F.F. Remix);2014-03-17
2mKouqwAIdQnMP43zxR89r;What's Luv? (feat. Ja-Rule & Ashanti);Fat Joe;72;6vMgb2mih3pPiWUxF8VEdI;Jealous Ones Still Envy (J.O.S.E);2001-12-04
5rIq9qIH2NERKuolO6CNEz;Equality;Afu-Ra;44;6HB0hHlIIn3jngBqILTA96;Body Of The Life Force;2000-10-24
2xmrfQpmS2iJExTlklLoAL;I Miss You (feat. Julia Michaels);Clean Bandit;23;78zct4Yn5hwMqrlh5uQedB;I Miss You (feat. Julia Michaels);2017-10-26
6EQ4orawx8eo0aXH0pOKLE;Skew It on the Bar-B;OutKast;48;5ceB3rxgXqIRpsOvVzTG28;Aquemini;1998-09-29
2cFK03sObtI6AK3QKeOT5g;We Got That Cool (feat. Afrojack & Icona Pop);Yves V;69;1WowOfXnw3DlwgjyzlAU4Q;We Got That Cool (feat. Afrojack & Icona Pop);2019-06-28
7ezGYRSrMOywKamZ0LPVwR;Looking Up;SafetySuit;42;2uikRQpOvOmZgJeHMizcC9;Looking Up;2015-10-23
2CVEASRFkXIaa9xAM2vPTw;Tear it;Raven & Kreyn;35;1Rfqjk6vHEAH9crAtK1XxM;Tear it;2019-09-16
5y788ya4NvwhBznoDIcXwK;The Sound of Silence - Acoustic Version;Simon & Garfunkel;74;5pnJrocLlZ3FWEbcr2PTz0;Wednesday Morning, 3 A.M.;1964-10-19
03AOspIZ6HveZ0fsB9bUGG;You;Zero Theorem;31;1YPRU5esICf3aUFRGbqLNv;You;2019-10-11
72h0DNOOO4HLaZHOW6cW7t;Animal;THE TRASH MERMAIDS;48;0nKWulhDh1FcM0ovA7Ugv7;Animal;2019-12-06
4KX39APEOO2EgiZFkcJOfR;Together;Martin Garrix;49;0hqMOru1WMB5gkHS7eJequ;Together;2016-10-20
2Oaq2Q6JFS1xIXGL9TVryY;Watskeburt?!;De Jeugd Van Tegenwoordig;55;29Fo0IBU1ZuyZD5ozPkjAs;Parels Voor De Zwijnen;2008-01-01
0XwqQVQa5FtszANrM2Oyeo;Wonder;Gaullin;35;3WV4RqyVbmCZgqiJdKeKc7;Wonder;2018-08-16
2xeiAqqHWYXQMWk6s2aQdw;Kærlighed (feat. Gilli & Kesi);ATYPISK;69;57dylJrrkI4fVk5PW2xLuk;A NIVEAU;2019-11-14
6hlgx0DEqPvQPd6dBpt5hV;When It Rains;Mr. Popular;33;5xJWYqLL7uK6BODgAfaLsa;When It Rains;2019-12-26
7nPUcqreo5DP2dz5dauBGI;Стволок за поясок;nogano;41;2yL4SyRMqWJyJEjCVAP2pD;Лакшери;2016-12-31
4kM2u3kyUDSVrL4yfDoXdp;Se Fue la Luz;Nuria Saba;40;1Dhg3lWyNkoqm4rte8ErjT;Niña Ojos Púrpura;2018-07-28
2FKsGoYghIBDdxsXXBIfJg;winter in rio;Wun Two;54;7brRaqvhSGMhAV5cCRb3LQ;Rio;2014-01-18
5QH3pNXpDzSIMziqX9lL1l;You Look Like Rain;Morphine;49;6NuVZbtcscN4RpgZd5UzQy;Good;1993
6oyeeA0sHwHM1pPpZaIsrD;Phantom Menace;$uicideBoy$;56;72I2i7wwU3Q7mJGxbNW12D;I Want To Die In New Orleans;2018-09-07
1BVTXeq3Hv4K1QamHvrt6A;Front, Back & Side to Side;UGK;42;4VQz1gqTCyie2LF7gdn3Fu;Super Tight;1994-04-11
2wzMOVWqLMBNx7wVvJ7tt0;Murder Was The Case (Death After Visualizing Eternity) (feat. Dat Nigga Daz);Snoop Dogg;58;7f9KDGqY7X2VLBM5aA66KM;Doggystyle;1993
0VETcdLJtf6qpkj7aKPBJ9;Get Lost - Ford. Remix;Bearson;53;7co1DbYi2j26jUv9wpaknV;Get Lost (Ford. Remix);2018-09-07
3YBZIN3rekqsKxbJc9FZko;Paradise City;Guns N' Roses;78;3I9Z1nDCL4E0cP62flcbI5;Appetite For Destruction;1987-01-01
1G2y3ckwnDX4IOiemPOXEW;Run;Delta Rae;44;0HvAm2vysVverWiodCEhON;After It All;2015-04-07
0sf12qNH5qcw8qpgymFOqD;Blinding Lights;The Weeknd;98;2ZfHkwHuoAZrlz7RMj0PDz;Blinding Lights;2019-11-29
41RSRxdVqnSWlL9Glx95fG;Candy On The Dancefloor;Tujamo;62;4aKSciNw4kZGWZVGHKmMEO;Candy On The Dancefloor;2019-02-22
4Svpc4QRvDW0J34AE30S9c;In Case You Don't Live Forever;Ben Platt;60;2AluSp6sapRu17yc4r2a5F;Sing To Me Instead;2019-03-29
5l3CML2OnzfNs5RfVgbcLt;Talk Dirty (feat. 2 Chainz);Jason Derulo;67;1OdcBxCNY52OXH0r4odXqP;Tattoos;2013-09-10
3n69hLUdIsSa1WlRmjMZlW;Breezeblocks;alt-J;73;6k3vC8nep1BfqAIJ81L6OL;An Awesome Wave;2012-09-18
7bF6tCO3gFb8INrEDcjNT5;Tough Love - Tiësto Remix / Radio Edit;Avicii;68;7CvAfGvq4RlIwEbT9o8Iav;Tough Love (Tiësto Remix);2019-06-14
48PG7tNmMOEcyTKXpP3ti0;PLIK;DZIARMA;56;53QlNs950KP5RAgTNjNj6s;PLIK;2019-12-12
294vBlXfZYspeI29SXZaON;Wake Me Up;Avicii;13;4c1UVOzAFB4mqGYZGadOru;Wake Me Up;2013-08-06
7gcp21g7ILJy0Doa1bJh0L;Real Wild Child (I'm a Wild One);Ken Clayton;19;5pXBNUV5Z0MIiE3ExCnIpq;80's Hard Rock Music Top Hits. The Greatest Best Songs 1980's;2014-03-20
44RqvvU9FeCjcPHZz50jLO;My Type (feat. Becky G & Melii) - Latin Remix;Saweetie;56;0eDa8J7db8HOxGHO9b7vh0;My Type (feat. Becky G & Melii) [Latin Remix];2019-09-20
1130yH9cDY39Onu6HDYFYP;Slow Rock;Tucka;32;2VU9xYC9n7UROhW8pjPnQt;Long Live the King;2016-07-21
6brl7bwOHmGFkNw3MBqssT;So Sick;Ne-Yo;77;6gkwOLmk0ALMOjWs5WhAEr;In My Own Words;2006-01-01
4iANxSIDT3kGekiquMSAgT;Embrasa;Vitão;71;1O8LPICWMyVScYtJb3zdJ8;Vitão;2019-03-08
5nLJL6DLanZaAq8DVkBs62;La Clase;Cazzu;61;5zbO01D6uIqC2ejQSQEN2O;Error 93;2019-06-03
1NHmcD7dVRn3RAB98wcgIa;My Life Be Like(Grits);L. Starz;54;2gPzKl4d42aeLbwjLMTEBK;Elemental;2018-10-15
036GQb6SETOJJG8BxJTNxc;Chloe (You're the One I Want);Emblem3;51;4rA1y7l62I627A69JFG1Vk;Nothing To Lose (Deluxe Version);2013-07-26
0805juC23Tu4an79SGgLjM;I Don't Want You;Martin Miller;25;646zKvNV1tbAclIAIXRhxo;I Don't Want You;2019-08-23
4NmKZBGuNIvNcuaPfu9SU9;Felicidad;Gondwana;0;7mQ3FBLNoqHRf8HkY2YVYc;Felicidad;2005
1BltsyC5W3SAABdxyrDXwi;Latch;Disclosure;19;1ZFGRj11NnZHos8DUbbpF1;Settle;2013-01-01
1WUQptIPkfY3Yjf98jxigP;Blackout;Almanij;22;0VJ57VPmFWWeYRBniykO5C;Blackout;2019-05-17
6Nabz5Gsy80XL0MJoOmgF8;Beds Are Burning - Remastered;Midnight Oil;63;2H371tT3IIvmqji0iZCp0O;20000 Watt RSL - The Midnight Oil Collection;1997-10-13
7d2RpBy2qTpFnzXd5jwX5F;On The Drums;Pickle;58;4pEO9i4jditKRUvgJkbYkr;On The Drums;2019-11-29
2NEjPjHPuTjUqQ8MoIWi0Z;no stress;Oilix;15;2ytUOoS3iYfCzXQ7tRtvhh;Summer Trip;2019-02-26
0vsRt9W2VisbZW6mqqjbp8;Turn Back The Clock;Johnny Hates Jazz;54;2x3S4pCzJSpvObdkK8PY4u;Turn Back The Clock;1988
6uAhZ4LBKqJgrfengXuj9z;Think (About It) - Single Version;Lyn Collins;0;3lssnAsQ6zBjYq2tncvw3u;The Best Of James Brown 20th CenturyThe Millennium Collection Vol. 3;2005-01-01
0qTnbQeh7q3kz7UcW7kmn2;The Tethered;Stone Dog Zen;30;0ai9BQkrHhv3kP3DErsXWF;The Tethered;2019-10-28
44UYb53g0qYJyg1fe2LiA9;Somebody's Crying - Remastered;Chris Isaak;32;4aS233D1sBxySxC1dKVtup;Best Of Chris Isaak;2006-05-05
5qhlC4Rzals34zxovrPzKp;Ice Box;Omarion;63;2dGxINFRaJEwDRXohf5gTE;21;2006-12-26
7Aq7xOKfeuF3LYUw9KThRK;When my love is safe (feat. Michael Manring);Marco Maggiore;32;3KvddScey8CiktBSbHBSdV;PassWords [Deluxe edition];2014-01-20
46qtEi9qJOXxmY0qel1wpN;Crank That (Soulja Boy);Soulja Boy;7;49tXmS631KKId7U6Pu2tg8;souljaboytellem.com;2007-01-01
