camis;dba;zipcode;cuisine_description
41328141;SEASIDE;10305.0;Turkish
41579281;MANOR SUSHI;10314.0;Japanese
41249417;ROLLERJAM USA;10309.0;American
50014920;FUSHIMI JAPANESE CUISINE;10306.0;Japanese
40391824;HILLSIDE SWIMMING CLUB;10314.0;American
41576082;M & K SPANISH RESTAURANT II;10301.0;Latin (Cuban, Dominican, Puerto Rican, South & Central American)
41028460;SUBWAY;10305.0;Sandwiches
50067284;DON CHUCHO;10310.0;Mexican
41604293;KRISPY PIZZA;10314.0;Pizza/Italian
50039333;AUNTIE ANNE'S PRETZELS;10314.0;Bagels/Pretzels
40423819;ALFONSO'S PASTRY SHOPPE;10314.0;Bakery
50080769;MANDI HOUSE;10301.0;Middle Eastern
41403948;PRIMO PIZZERIA & RESTAURANT;10304.0;Pizza/Italian
50016672;HAPPY FORTUNE II;10314.0;Chinese
40993786;DUNKIN' DONUTS;10308.0;Donuts
50058046;MAR MAR RESTAURANT;10301.0;Mediterranean
41614438;THE WEST SHORE INN RESTAURANT;10314.0;American
41646201;120 BAY CAFE;10301.0;American
41182565;DUNKIN' DONUTS;10314.0;Donuts
41505331;HOT SHOTZ SPORTS BAR I;10309.0;American
41209994;ALL STAR PIZZA;10308.0;Pizza
40566621;STARBUCKS;10306.0;Caf̩/Coffee/Tea
50003719;NEW WIN HING INC;10305.0;Chinese
50051178;CHIPOTLE MEXICAN GRILL #2308;10306.0;Mexican
40716299;CHUCK E. CHEESE'S;10314.0;Pizza
41615144;CHINA TASTE;10305.0;Chinese
50018283;M & K SPANISH RESTAURANT BAR;10306.0;Spanish
50056580;QUICK GRILL JAPAN;10314.0;Japanese
41623317;PRONTO PIZZA;;Pizza/Italian
41350965;MOTHER PUGS SALOON;10302.0;American
41443150;VILLA MONTE II PIZZERIA AND RESTAURANT;10306.0;Pizza/Italian
41257749;POPEYES LOUISIANA KITCHEN;10302.0;Chicken
41092947;M & K SPANISH RESTAURANT;10301.0;Spanish
50014920;FUSHIMI JAPANESE CUISINE;10306.0;Japanese
50018679;NEW LUCKY GARDEN;10301.0;Chinese
40603743;ROSSVILLE PIZZERIA;10309.0;Pizza/Italian
50078617;A Little Bit Of This And A Little Bit Of That;10310.0;Ice Cream, Gelato, Yogurt, Ices
40368034;ROADHOUSE RESTAURANT;10301.0;Italian
