song_id;danceability;energy;key;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms
08oolgtQ3uYjZDXNK1VCC6;0.863;0.838;10;-4,593;0.24;0.138;2.77e-06;0.0533;0.756;97.997;234006
4mU5iXHeLgbR94siF7p1sY;0.772;0.504;6;-8,219;0.0761;0.129;0.0;0.125;0.244;140.035;237573
54huym3Clwn8vsqDeTVETg;0.843;0.371;8;-6,932;0.164;0.188;0.00015;0.0956;0.363;126.043;334267
3OcQkcvTcohs8vO8Rd3sKF;0.813;0.693;10;-8,0;0.266;0.0341;0.0;0.121;0.618;103.508;391693
5CXF4x2kZI2ftIogOuhXYN;0.677;0.588;6;-9,496;0.0368;0.0325;0.000228;0.128;0.174;128.019;266788
73OZcwiBI41R0o5TDGeZ7i;0.813;0.532;4;-9,578;0.063;0.326;0.856;0.0969;0.29;107.983;197778
52riputZ4Vo5PG9MOSy6r5;0.912;0.416;10;-5,943;0.164;0.437;0.306;0.09;0.677;90.013;236227
3NgDulHteTVdF026IxY5bW;0.7;0.869;11;-4,452;0.284;0.109;0.0;0.13;0.907;180.124;225013
3Of5Vvox7DstYj6oET5b2h;0.888;0.577;1;-7,702;0.0612;0.0986;0.0;0.131;0.609;84.003;241840
7MD5qMLhP1Xll1yACGFR2h;0.537;0.697;1;-4,58;0.0385;0.132;0.0;0.104;0.228;144.009;211667
1jaVHAdoEONRCrcNvRtCFY;0.69;0.486;11;-7,581;0.44;0.135;0.000499;0.0891;0.538;102.964;201493
3psphMjNlZ6AH8WZSthmvO;0.684;0.94;11;-3,01;0.0786;0.00187;2.21e-06;0.397;0.497;112.008;218973
2r4mpuIYFgKsjeykJTQMqX;0.719;0.747;11;-6,369;0.0448;0.0108;0.128;0.066;0.498;124.998;215474
6Xu68vlqiu05qseJTVKlbw;0.341;0.423;2;-10,886;0.0297;0.408;0.882;0.117;0.537;113.377;325293
4sUlsy0tPv9n5nqrqeA0lE;0.435;0.444;7;-12,816;0.0336;0.159;0.000705;0.457;0.734;103.818;328360
3lX49Bqy21Y5HneUJ7p55G;0.505;0.427;5;-13,217;0.0278;0.0897;0.000561;0.0802;0.477;105.816;175813
3Ipgo2twyvBySMwsTzunlH;0.758;0.49;6;-7,98;0.032;0.357;0.000699;0.0795;0.428;119.969;291580
22vgEDb5hykfaTwLuskFGD;0.842;0.734;1;-5,065;0.0588;0.0427;0.0;0.106;0.952;137.958;181027
5sAwKZXy47JNVk03zqWgwI;0.827;0.619;1;-10,173;0.11;0.00365;0.011;0.337;0.73;111.083;216320
4DVPJXPqKLIon9BHklap1w;0.713;0.769;0;-6,613;0.0478;0.624;4.82e-05;0.296;0.876;150.027;219293
4PIrQHxXlHlSXKoKd2nuxE;0.79;0.675;11;-6,952;0.319;0.166;1.36e-05;0.103;0.363;90.961;256198
3MByCefcd6Y2S0VKw13e2B;0.746;0.816;10;-6,966;0.0431;0.00564;0.033;0.0777;0.634;110.074;321773
7MUazB4rGIqFFIkjT95rCO;0.564;0.723;2;-6,983;0.0702;0.000741;0.672;0.543;0.466;121.97;180843
2ze3FsjHLwoT18zzAP6SMM;0.386;0.847;6;-4,487;0.0965;0.00482;1.15e-06;0.0509;0.765;142.73;287973
60RpCIrhpFyxXE8foFsFaL;0.82;0.782;10;-5,469;0.326;0.0315;0.0;0.118;0.608;144.962;198853
2pJB9ENNXtKShQ5jsOiR49;0.764;0.715;11;-4,796;0.0415;0.169;0.0;0.0562;0.737;116.987;199160
7hrnaeVvXFAkvQOmjHJglY;0.697;0.928;5;-4,052;0.113;0.0158;0.00723;0.503;0.654;124.023;228387
