song_id;danceability;energy;key;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms
52nvjYpyVy1vPvNtqKTbvM;0.867;0.432;7;-7,466;0.188;0.0119;0.0;0.069;0.88;94.017;225319
1Jaah2tmN9Hv81A87KZ1MU;0.575;0.886;5;-5,182;0.034;0.0647;0.000187;0.709;0.608;96.308;244667
0iRXwSL6X0Fhya8Xk8kNhl;0.751;0.747;1;-4,888;0.173;0.466;0.0;0.118;0.548;150.088;281013
4qgZs0RNjdzKAS22lP0QjY;0.49;0.724;2;-9,581;0.0366;0.00976;0.0046;0.159;0.292;125.812;337506
2QpGZOhTCHHiKmpSO9FW4h;0.529;0.9;1;-3,503;0.418;0.000248;1.21e-05;0.0426;0.434;180.291;104591
10dVVfHlZYjV4Qv9uNVgrA;0.934;0.642;2;-6,489;0.117;0.037;0.0;0.0754;0.748;108.027;207764
2ERoiswcZQdXztyYNODB4z;0.53;0.768;5;-4,178;0.0354;0.127;6.42e-06;0.238;0.432;143.902;260933
5AQhw6cV5w1NipoBJbOb3f;0.425;0.973;0;-4,229;0.119;0.00236;0.136;0.265;0.433;179.958;258280
7uE5g6xnf80YRfavpReowD;0.741;0.849;8;-4,407;0.242;0.021;0.00449;0.104;0.485;85.96;226520
0r4wOGAdRfCJyaognMP44R;0.782;0.718;1;-4,277;0.111;0.00834;0.0;0.163;0.641;104.067;269920
39sIYwLYquEkGkmRMPHkH4;0.619;0.767;1;-5,926;0.0358;0.0155;0.0;0.12;0.247;121.04;219174
6v4ORMzjFcS8bfx7fSwkZD;0.178;0.478;5;-5,927;0.0396;0.954;0.00585;0.125;0.0841;167.301;292280
0P6AWOA4LG1XOctzaVu5tt;0.775;0.573;11;-4,933;0.0585;0.495;0.0;0.126;0.667;101.925;171806
2B4WMojjlOZ9taxVw8MkMg;0.773;0.527;0;-9,404;0.15;0.106;0.0;0.279;0.413;97.96;188575
5rbHxYjIAs4flh30UL66dO;0.614;0.608;10;-7,356;0.0375;0.451;5.03e-05;0.134;0.478;117.056;207179
5TSC8x1GZNEaqtwC8YsVWx;0.553;0.776;11;-4,371;0.0388;0.0536;1.24e-06;0.112;0.339;128.123;152000
11hrac0abM5C78XGjnxsNx;0.464;0.94;0;-8,06;0.0457;0.000184;0.11;0.988;0.346;146.595;289267
3f04ysVYLQoaKFHLHjezws;0.816;0.813;8;-3,124;0.361;0.448;0.0;0.153;0.79;171.816;228092
3DXP7pJNl1AmAUl90CAGe0;0.807;0.674;1;-6,94;0.119;0.0174;6.35e-06;0.061;0.788;94.984;175500
5rwq6R0Uq0BngM3rdmCeNg;0.582;0.253;10;-11,43;0.0259;0.827;2.95e-05;0.091;0.294;90.184;277000
20z5VnuRJkpxcokwAu9VtP;0.498;0.798;3;-4,637;0.0902;0.0992;3.47e-06;0.119;0.369;138.058;284493
4GAFlFLouTialsJv1kiKaC;0.727;0.702;4;-6,19;0.131;0.0991;9.42e-06;0.739;0.525;110.005;187160
3xRcQ04b0l5RiU2w7lJhCD;0.549;0.413;4;-5,587;0.0362;0.756;0.0;0.0939;0.29;139.981;225920
37i6z8YqVrsvlx9jAaF6Rf;0.451;0.364;9;-13,126;0.0436;0.469;0.0;0.197;0.298;154.206;444053
2udGjDmpK1dH9VGyw7nrei;0.699;0.502;9;-12,526;0.0278;0.0607;0.0337;0.317;0.676;105.266;221640
4at3d5QWnlibMVN75ECDrp;0.61;0.458;9;-11,336;0.36;0.696;0.000103;0.0852;0.246;192.099;240342
2tiq10rhGegBQmBa81etVS;0.59;0.701;11;-5,488;0.105;0.33;2.95e-05;0.0888;0.595;86.758;245080
5UVBumEwdUnzvqxrXOYLFA;0.348;0.263;0;-8,531;0.0516;0.835;0.654;0.129;0.12;74.517;236000
137VK6DhNh2f6qhx1CaQ4g;0.802;0.682;9;-6,783;0.568;0.505;0.0;0.103;0.589;96.896;143987
4xL5ytWp07oOvYRtcN4ehe;0.793;0.704;6;-8,413;0.298;0.0114;0.00191;0.23;0.773;172.128;292120
