song_id;danceability;energy;key;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms
11HLyzoCyx8hXKXVmrg1Sy;0.67;0.512;7;-14,62;0.0335;7.93e-05;0.0985;0.105;0.965;125.18;250707
4tjCNQ7aCL2Ou2rJlmrTpj;0.826;0.745;11;-3,615;0.0415;0.0187;0.0237;0.163;0.605;121.002;237160
7iLGljK0LNpGamQQEOuCRC;0.686;0.92;2;-6,231;0.0566;0.301;0.27;0.0807;0.225;135.027;511400
0vFOzaXqZHahrZp6enQwQb;0.469;0.537;9;-10,421;0.152;0.0241;0.00201;0.269;0.783;124.193;382834
57S2YRp4EHw7ERa9SVyjDW;0.744;0.766;7;-6,777;0.0421;0.249;0.573;0.348;0.145;127.967;172500
5ciOELC8e3GeHoER1o5SSg;0.567;0.61;2;-6,999;0.139;0.153;3.24e-06;0.0832;0.715;80.933;200973
7d8GetOsjbxYnlo6Y9e5Kw;0.352;0.928;1;-3,71;0.0758;0.00113;0.0;0.0987;0.239;148.026;222107
1eyq8cjUQ2daFthW2PC2GM;0.518;0.585;5;-8,485;0.0279;0.0778;2.43e-06;0.31;0.312;144.998;258120
41aOyMZXFwvwRpugIlNCGF;0.311;0.832;1;-8,29;0.0357;0.486;0.00128;0.235;0.933;178.873;288160
0KKkJNfGyhkQ5aFogxQAPU;0.853;0.56;1;-4,961;0.0406;0.013;0.0;0.0944;0.86;134.066;206693
2J7xJcaxx8IuhAheIjDzdz;0.646;0.666;1;-12,691;0.0465;0.125;1.54e-05;0.062;0.73;109.175;255827
2MD2P7Jd4ZzF2VrbCrE8vU;0.609;0.37;7;-16,908;0.0992;0.268;0.815;0.112;0.0978;109.995;369929
6qvfyXGXEPEYwwqBykWw3H;0.891;0.675;2;-6,892;0.152;0.11;0.0;0.275;0.562;127.012;217705
0P4wupoasH0Pj0cuvwaIwN;0.596;0.506;9;-10,08;0.355;0.0129;0.0;0.102;0.688;87.761;301107
3UfQlRgwo0CMiAFqacfp8C;0.449;0.582;6;-9,434;0.0622;0.759;0.074;0.136;0.511;118.403;254653
7busfkOzRWvXsi009i3FUO;0.698;0.658;5;-6,428;0.105;0.052;4.69e-06;0.144;0.62;169.979;218658
03sno6MIkoVX5eC4pRKMzr;0.603;0.688;8;-5,515;0.0358;0.0117;0.75;0.0941;0.561;94.991;195000
7IMGshuSNOXHgmboboPpIH;0.701;0.816;8;-5,95;0.0608;0.309;7.79e-05;0.153;0.316;125.068;173040
6eEYGGFfFbtKHCgJM4uh9v;0.428;0.599;4;-2,135;0.0286;0.0665;9.86e-06;0.137;0.134;125.83;301730
3WXfQDsASfXrSojk9WB3aR;0.642;0.7;1;-9,213;0.0552;0.172;0.000232;0.0895;0.784;103.899;312480
0ltO5bci13M68sTnEctBxR;0.577;0.854;7;-3,754;0.0473;0.0596;2.69e-05;0.205;0.336;94.999;227631
2pX4FpOgwItRVPPUFdRcxA;0.609;0.923;9;-3,908;0.0338;0.16;4.73e-06;0.295;0.961;115.996;294987
