camis	dba	zipcode	cuisine_description
41213163	PAESANO'S	10013.0	Italian
50044869	Lamano	10011.0	Caf̩/Coffee/Tea
50000256	CHAMPAGNE BAR AND ROSE CLUB	10019.0	American
40604004	WRAP N RUN GRILL	10075.0	American
41454101	FRESCO 57	10019.0	American
41538666	PICCOLO CAFE	10018.0	Caf̩/Coffee/Tea
50013558	ROWE STUDIOS LOUNGE	10036.0	American
50065679	NEW LEVEL JUICE	10029.0	Juice, Smoothies, Fruit Salads
50041341	ASIAN FUSION	10027.0	Asian
50005983	SUSHI SEKI	10011.0	Japanese
40394357	ABITINO'S PIZZA	10016.0	Pizza
50069755	MUNCHIES	10033.0	Spanish
41572565	LUKE'S LOBSTER	10004.0	Seafood
41280792	JOHNNY UTAHS	10019.0	American
41588267	COPACABANA		Latin (Cuban, Dominican, Puerto Rican, South & Central American)
50014641	PROPER WEST	10018.0	American
50038633	QUAN SUSHI & GRILL	10013.0	Japanese
41574056	LE PAIN QUOTIDIEN	10017.0	French
41162067	CHEF YU / AZUKI	10018.0	Chinese
40592117	THE OTHEROOM	10014.0	American
50068945	STARBUCKS #48990	10009.0	Caf̩/Coffee/Tea
50015845	ASHLEY'S FINE FOODS	10017.0	American
50017041	JUST SALAD	10001.0	Salads
40386556	WESTSIDE RESTAURANT	10023.0	American
41523630	LITTLE ITALY PIZZA III	10003.0	Pizza/Italian
50049177	LOLITAS KITCHEN & BURGER HOUSE	10128.0	Mexican
41591881	WILLIAM BARNACLE	10003.0	American
41647741	THE STANDARD EAST VILLAGE	10003.0	American
50060603	FUSHA FUSION	10022.0	Asian
50071085	IKINARI STEAK	10036.0	Japanese
41351040	HUDSON VIEW RESTAURANT	10033.0	American
41474722	MARCONY	10016.0	Italian
50005390	JUMBO PIZZA	10031.0	Pizza
50010502	MELANI PIZZERIA	10002.0	Pizza
40398796	STARBUCKS	10075.0	Caf̩/Coffee/Tea
50050961	UNION FARE	10003.0	American
41184142	BERGER'S ON THE GO	10016.0	Delicatessen
41470043	Colibri	10009.0	American
50006147	CHOP'T	10012.0	Salads
41459923	DUNKIN' DONUTS BASKIN ROBBINS	10035.0	Donuts
50057005	SHU HAN JU RESTAURANT II	10003.0	Chinese
41646166	MIKEY'S	10002.0	American
41624530	PIO PIO	10036.0	Peruvian
50056599	LITTLE FROG FRANCOIS LATAPIE	10028.0	French
41687913	STARBUCKS	10036.0	Caf̩/Coffee/Tea
50052060	GEORGE'S PIZZA	10033.0	Pizza/Italian
40949462	CUCINA & COMPANY	10017.0	American
41490282	LE PARISIEN	10016.0	French
50062903	WAHLBURGERS	10028.0	Hamburgers
50056677	STARBUCKS COFFEE COMPANY	10022.0	Caf̩/Coffee/Tea
40676550	THE BLACK SHEEP	10016.0	Irish
41011581	WOGIES	10014.0	American
50032887	PARADA 47 MEXICAN RESTAURANT	10036.0	Mexican
50013026	CHIPOTLE MEXICAN GRILL	10065.0	Tex-Mex
41596546	MARGON RESTAURANT	10036.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
40365293	ANGELO OF MULBERRY ST.	10013.0	Italian
40795021	TAO RESTAURANT	10022.0	Asian
50042840	DUNKIN' DONUTS	10027.0	Donuts
41351011	CABRINI 181	10033.0	American
50000165	AMC THEATRES	10003.0	American
50011657	SPICE	10003.0	Thai
41385585	LA FONDA DEL SOL	10017.0	Spanish
40871763	CAFE ZAIYA	10017.0	Japanese
40362715	THE COUNTRY CAFE	10005.0	Sandwiches/Salads/Mixed Buffet
50073479	64 ST GARDEN CAFE	10065.0	Asian
41693374	ALEX CAFE & DELI	10021.0	American
50005848	IPPUDO	10003.0	Japanese
41164678	NIOS RESTAURANT	10036.0	American
41655398	LULO RESTAURANT	10040.0	Spanish
50043782	RAWL	10017.0	Asian
41217572	JACK'S STIR BREW COFFEE	10038.0	Caf̩/Coffee/Tea
41692932	GOURMET 45	10017.0	Delicatessen
40367677	CAPITOL RESTAURANT	10034.0	American
41540906	AI FIORI	10018.0	Italian
41172855	GABRIELA'S RESTAURANTE	10025.0	Mexican
50043033	ASIAN 83	10028.0	Chinese
50033574	CHEZ ALAIN RESTAURAUNT	10027.0	African
50010178	LA CARBORNARA	10011.0	Italian
41054554	PHEBES	10003.0	American
50012258	THE HALAL GUYS	10003.0	Mediterranean
50045449	FRED'S at BARNEYS NEW YORK	10011.0	American
41464597	TASTE OF CAFE (POTAMKIN)	10035.0	American
40573412	THE TRIAD	10023.0	American
40378579	ANDREWS COFFEE SHOP	10018.0	American
40865192	NATHAN'S FAMOUS	10121.0	Hotdogs
41719666	KOFFEECAKE CORNER	10001.0	Caf̩/Coffee/Tea
41505368	KING FOOD	10024.0	Chinese
50057297	BLACK BURGER/ POKE BOWL/ 5 BOROUGHS PIZZA	10013.0	American
41659498	WORLD YACHT DUCHESS	10036.0	American
50001398	GRACE STREET	10001.0	Caf̩/Coffee/Tea
50075670	NEW GOLDEN CHOPSTICKS	10004.0	Chinese
50001918	BLACK IRON BURGER	10009.0	American
41171815	G'S CANDY STORE COFFEE SHOP	10034.0	American
50049747	2BEANS	10010.0	Caf̩/Coffee/Tea
41376524	KAFFE 1668	10007.0	Caf̩/Coffee/Tea
50004442	BAKERY ON 3RD CAFE	10029.0	Bakery
41421128	MARY O'S	10009.0	American
41244358	COCO MOKA CAFE	10121.0	American
50003174	BOILERMAKER	10003.0	American
41209159	SECCHU YOKOTA	10009.0	Japanese
50011222	ABACKY POTLUCK	10001.0	Asian
41261090	LE PAIN QUOTIDIEN	10003.0	Sandwiches
40401671	WATER FRONT ALE HOUSE	10016.0	American
50047923	BURRITOS Y MAS	10029.0	Tex-Mex
40368313	RED FLAME DINER	10036.0	American
40931477	EUROPA CAFE	10022.0	Sandwiches/Salads/Mixed Buffet
50004674	KORI TRIBECA	10013.0	Korean
50069517	DIG INN / MATCHABAR	10012.0	American
41527847	THE COTTAGE/AZUKI JAPANESE	10003.0	Chinese
41701052	GREEN CAFE	10128.0	American
50063454	WAFELS & DINGES		Other
41049312	VILLA	10036.0	Pizza/Italian
41382903	THE LEXINGTON SOCIAL	10029.0	American
50078821	AZUMMA	10013.0	Spanish
40803550	BAKER STREET PUB	10065.0	American
50041388	HARPER'S BREAD HOUSE	10002.0	Bakery
40606331	PARK ITALIAN GOURMET	10036.0	Italian
41704391	NEW MANDARIN COURT	10013.0	Chinese
50032768	La Dinastia Latin-Chinese Cuisine	10023.0	Chinese/Cuban
50057564	AMBER	10014.0	Japanese
40903063	O-MAI	10011.0	Vietnamese/Cambodian/Malaysia
50040804	SADELLES	10012.0	American
40386569	SAL AND CARMINE PIZZA	10025.0	Pizza
41604933	RYAN'S DAUGHTER CAFE	10028.0	Irish
41416625	ODA HOUSE RESTAURANT	10009.0	Eastern European
40849391	ENNJU	10003.0	Japanese
41564382	BAREBURGER	10016.0	Hamburgers
50035244	MAMO RESTAURANT	10013.0	Italian
41014679	BATTERY GARDENS RESTAURANT	10004.0	American
50034452	BONO TRATTORIA	10031.0	Italian
50053477	DY JUICE BAR	10013.0	Juice, Smoothies, Fruit Salads
50075597	ODDFELLOWS	10012.0	Caf̩/Coffee/Tea
40400686	PEKING DUCK HOUSE	10022.0	Chinese
41639481	DISNEY ABC CAFETERIA	10023.0	American
50032973	CHIPOTLE MEXICAN GRILL	10004.0	Mexican
50044975	LENWICH	10024.0	Sandwiches
41545370	SHRINE/YATENGA		African
40988793	UBS	10019.0	American
41224664	HBO EDR	10036.0	American
50064881	SEAWALK RESTAURANT	10034.0	Caribbean
50016967	LA FIESTA RESTAURANT	10032.0	Mexican
41303456	BICE	10019.0	Italian
50002620	ADYAR ANANDA BHAVAN	10022.0	Indian
50015344	ROOM SERVICE	10036.0	Thai
50032938	JOHN DOE BAR & KITCHEN	10016.0	American
41416092	GUADALUPE BAR AND GRILL	10034.0	Mexican
40558850	DECHERT (THE DECH)	10036.0	American
50047785	CAPPONE'S	10011.0	Italian
50034730	TURNTABLE 5060	10009.0	American
50002766	THE MARSHAL	10036.0	American
50063001	BAKED CRAVINGS	10029.0	Bakery
50065598	INDIKITCH	10036.0	Indian
41710527	JUST SALAD	10019.0	Salads
40368555	IL CORTILE RESTAURANT	10013.0	Italian
50074660	POKEBAB	10004.0	Hawaiian
50057768	JOHNNY KAKS	10030.0	Caribbean
40718557	DELMONICOS	10004.0	Italian
40857838	DYLAN'S CANDY BAR	10065.0	Ice Cream, Gelato, Yogurt, Ices
50079599	NICE ONE BAKERY	10013.0	Bakery
40390547	STAGE DOOR DELI	10007.0	Delicatessen
50014641	PROPER WEST	10018.0	American
41581905	LE CHEILE	10033.0	Irish
41644337	RARE VIEW ROOFTOP	10001.0	American
41264671	BROTHER JIMMY'S BBQ	10001.0	Barbecue
50018300	CAFE R	10001.0	American
50041388	HARPER'S BREAD HOUSE	10002.0	Bakery
41097286	THREE STAR DINER	10075.0	American
50058131	THAI BKK	10035.0	Thai
40720858	PIER SIXTY ONE-THE LIGHTHOUSE		American
50037535	OFF THE GRID PUB & GRUB	10031.0	Spanish
41248228	SUBWAY	10065.0	Sandwiches
50057459	LITTLE ITALY PIZZA	10036.0	Pizza
41648643	STICKY'S FINGER JOINT #1	10011.0	Chicken
50075450	NO.1 CALLE 191 PESCADERIA	10040.0	Seafood
40544576	YONAH SHIMMELS KNISHES	10002.0	Eastern European
41011887	THE CITY BAKERY	10011.0	American
41582631	TINY'S AND THE BAR UPSTAIRS	10013.0	American
50007126	SANDWICHERIE OF NEW YORK	10017.0	American
40703714	PALM RESTAURANT	10019.0	Steak
40364572	DONOHUE'S STEAK HOUSE	10065.0	Steak
40746574	BAR COASTAL	10075.0	American
41010271	MINCA RAMEN FACTORY	10009.0	Japanese
50012463	THE JOLLY GOAT COFFEE BAR	10036.0	Caf̩/Coffee/Tea
41709543	SUBWAY	10001.0	Sandwiches
