camis	dba	zipcode	cuisine_description
40524837	JIMMY RYAN'S	10461.0	American
50013405	WAH YONG KITCHEN	10452.0	Chinese
50043212	EXITO BAR & LOUNGE	10459.0	Spanish
50014342	UNDERGROUND LOUNGE	10468.0	American
50009712	WO KAI CHINESE RESTAURANT	10456.0	Chinese
41563655	LA ESPIGA MEXICAN RESTAURANT	10455.0	Mexican
50037082	SAKE II	10458.0	Japanese
50037770	OASIS RESTAURANT & BAR	10470.0	Caribbean
40973604	THE PIZZA PLACE	10466.0	Pizza
50002478	VILLA TAPIA RESTAURANT	10454.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
40917970	FOOD HUT RESTAURANT & BAKERY	10469.0	Caribbean
41181385	EL DESPERTAR MARLENE	10459.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
41623838	HAPPY DRAGON		Chinese
41615635	PERISTA RESTAURANT	10468.0	American
40875290	SEAFOOD  CITY	10464.0	Seafood
50045738	KENNEDY FRIED CHICKEN	10469.0	American
41178943	GOLDEN PALACE CHINESE RESTAURANT	10473.0	Chinese
41173001	DRAGON VILLAGE	10472.0	Chinese
41525492	LA PENDA RESTAURANT	10453.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
50034953	HOUSE OF ANTOJITOS	10458.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
41267759	IHOP	10467.0	Pancakes/Waffles
50010699	ALBERT'S COFFEE SHOP	10474.0	American
50005498	KENNEDY FRIED CHICKEN	10452.0	Chicken
40986189	LIEBMAN'S DELI	10463.0	Jewish/Kosher
50059886	SABBA'S CHICKEN	10472.0	American
50002548	CARIFESTA RESTAURANT	10466.0	Caribbean
41637595	DUNKIN' DONUTS, BASKIN ROBBINS	10457.0	Donuts
40699339	NICK GARDEN COFFEE SHOP	10458.0	Caf̩/Coffee/Tea
50037680	TILILA BAR & GRILL	10463.0	Spanish
40945123	FRANK'S PIZZA	10465.0	Pizza
41464143	VYBES KITCHEN	10469.0	Caribbean
50068971	KENNEDY  FRIED CHICKEN	10466.0	Chicken
41598329	BOSTON ROAD CHINA	10469.0	Chinese
41385362	MCDONALD'S	10468.0	Hamburgers
41036011	HUNTSPOINT CHINESE RESTAURANT	10459.0	Chinese
50003874	PALACE OF JAPAN	10463.0	Japanese
50053703	JOHN'S FRIED CHICKEN	10463.0	Spanish
50018344	LAS ORQUIDEAS RESTAURANT	10458.0	Spanish
50007100	241ST CAFE RESTAURANT	10470.0	American
41366292	CARIDAD RESTAURANT	10452.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
41358592	ZERO OTTO NOVE TRATTORIA	10458.0	Italian
