camis,dba,zipcode,cuisine_description
50061063,4 Amores (Entrance is on Whitney Ave),11373.0,Peruvian
50006786,CAVALERI PIZZA & PASTA,11358.0,Italian
41529756,CHIQUITA'S RESTAURANT,11385.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50057511,GAW GAI,11101.0,Thai
40704155,ERAWAN THAI CUISINE,11361.0,Thai
50044565,JUST COMBO RESTAURANT,11105.0,Middle Eastern
41690815,PERLAS,11377.0,Asian
40375286,LA VILLA DE PIZZA & RESTAURANT,11414.0,Pizza
50048104,KING WOK,11362.0,Chinese
41669951,YORK COLLEGE CAFETERIA,11433.0,American
50004168,MCDONALD'S,11106.0,Hamburgers
50017475,EL PARROQUENO RESTAURANT,11368.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50007359,SARILING ATIN,11373.0,Filipino
41568722,PACHANGA PATTERSON,11106.0,Mexican
50002459,JUICE FOR LIFE,11040.0,American
41492331,SANDRO'S LATIN FOOD RESTAURANT,11105.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50038545,HOMEMADE TAQUERIA,11368.0,Mexican
50033484,TULCINGO RESTAURANT,11372.0,Mexican
41267080,NEW YORK STYLE EATS,11104.0,American
50005509,PULAU PINANG MALAYSIAN CUISINE,11373.0,Asian
41431210,MARACUS CLUB AND RESTAURANT,11418.0,American
50001985,CHIFLEZ,11372.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
40911611,S.R. DELI GROCERY,11373.0,Mexican
50050465,SALVATORIA KITCHEN AND BAR,11106.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50018295,CRANBERRY,11101.0,Delicatessen
41461165,NEW BRISAS LATINAS BAKERY RESTAURANT,11420.0,Spanish
40365841,PARKSIDE RESTAURANT,11368.0,Italian
40593817,XTRA CHEESE PIZZERIA,11354.0,Pizza/Italian
40512087,BIG NEW YORK FRIED CHICKEN,11691.0,Chicken
50011935,MANUEL E  RESTAURANT,11368.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
41677912,JOHN BROWN SMOKEHOUSE,11101.0,American
50036483,THE RIDGEWOOD ALE HOUSE,11385.0,American
41418337,NICK'S BISTRO,11375.0,Greek
50059292,HILLSIDE HOT BAGELS,11423.0,Bagels/Pretzels
40394701,THE END ZONE BAR,11357.0,American
50005081,NEW WOKS KITCHEN,11355.0,Chinese
50036029,NOWADAYS,11385.0,American
41608858,CITY SNOOKER POOL HOUSE,11373.0,"Bottled beverages, including water, sodas, juices, etc."
41722442,SIDETRACKS RESTAURANT,11104.0,American
40810032,AL-MEHRAN RESTAURANT,11432.0,Indian
41250834,IL NOCELLO RISTORANTE ITALIANO,11357.0,Italian
41414288,PASTICCERIA AMORE D'ITALIA,11375.0,Bakery
41236780,CLASSIC QUIZINE,11691.0,Caribbean
40395906,ROSA'S PIZZA & PASTA,11379.0,Pizza/Italian
41599283,EAST DRAGON,11368.0,Chinese
