id;property_type;room_type;accommodates;bathrooms;bedrooms;beds;bed_type;amenities;square_feet;price;weekly_price;monthly_price;security_deposit;cleaning_fee;guests_included;extra_people;minimum_nights
19472085;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;"{TV,Wifi,""Air conditioning"",Kitchen,Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance""}";;$250.00;;;$0.00;$0.00;1;$0.00;2
6262821;Apartment;Private room;4;1.5;1.0;2.0;Real Bed;"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Elevator,""Free street parking"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Smart lock"",""Private entrance"",""Hot water"",""Bed linens"",""Pocket wifi"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Garden or backyard"",""Step-free access"",""Flat path to front door"",""Step-free access"",""Step-free access"",""Handheld shower head""}";;$95.00;$770.00;$3,080.00;$0.00;$45.00;2;$35.00;2
23549904;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;"{TV,Wifi,""Air conditioning"",Kitchen,Elevator,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Room-darkening shades"",""Hot water"",""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Host greets you""}";;$250.00;;;$2,000.00;$150.00;1;$0.00;2
15937164;Loft;Entire home/apt;2;1.5;1.0;1.0;Real Bed;"{Internet,Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""Hot water"",""Long term stays allowed"",""Host greets you"",""Paid parking on premises""}";;$180.00;;;$0.00;$85.00;1;$28.00;2
3944233;Apartment;Private room;1;1.0;1.0;1.0;Pull-out Sofa;"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Pets live on this property"",Cat(s),Elevator,Heating,Essentials,Shampoo}";;$130.00;;;;;1;$0.00;3
9391609;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Gym,Elevator,""Hot tub"",Heating,""Family/kid friendly"",Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff""}";;$191.00;;;;$175.00;1;$0.00;30
7931059;Apartment;Private room;2;2.0;1.0;2.0;Real Bed;"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Gym,Elevator,""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",Essentials,Shampoo}";;$75.00;;;;;1;$0.00;1
25264538;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;"{Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Private living room"",""Hot water"",""Bed linens""}";;$299.00;;;;;1;$0.00;2
12298456;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Free street parking"",""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",Other}";;$395.00;;;$1,500.00;$128.00;1;$0.00;4
470090;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;"{TV,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",""Pets allowed"",""Free street parking"",Heating,""Family/kid friendly"",Washer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Game console"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Long term stays allowed""}";;$210.00;$1,700.00;$4,200.00;$800.00;$135.00;2;$50.00;1
