song_id;danceability;energy;key;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms
2Ec33AVlkTTq8BHFgBTdQs;0.881;0.457;7;-8,191;0.156;0.0327;0.0;0.231;0.296;136.97;198913
4lzxJ4jCuFDXXGkE1LmpKR;0.857;0.647;11;-4,152;0.0984;0.391;1.2e-06;0.0842;0.553;95.982;267500
2LA5mHwF4FphL80jo47Npp;0.755;0.74;8;-5,644;0.309;0.125;0.0;0.333;0.325;136.56;145450
7Iz2uEnGQasIwj0HnTqdTj;0.593;0.484;11;-6,731;0.296;0.247;0.0;0.208;0.334;79.84;267833
0COqiPhxzoWICwFCS4eZcp;0.331;0.943;4;-3,188;0.0698;0.00721;2.06e-06;0.242;0.296;94.612;235893
0ix3RUQ76mECOKP6LDPy66;0.726;0.808;10;-4,377;0.134;0.344;0.000163;0.0828;0.483;96.042;207739
599SYydq8MbWRSa0gYJtVK;0.341;0.53;11;-6,806;0.0424;0.839;0.0;0.0865;0.405;171.571;266933
5ol5vmBHvjrdEXfky3gsQk;0.645;0.453;5;-10,087;0.0453;0.758;0.00183;0.0798;0.521;96.449;306933
7g7M96UGiA7OR79H86gV4m;0.858;0.484;6;-7,448;0.277;0.0241;1.8e-06;0.123;0.329;99.992;202720
4RMkS2RKc0dVR4pj7m2LvY;0.821;0.542;10;-8,165;0.274;0.0884;0.0;0.175;0.76;87.099;261720
52Qu0no0NBho3zyRmjlsHn;0.834;0.472;5;-7,777;0.0873;0.412;6.76e-05;0.0836;0.517;107.014;244747
4y4KG66qCAN2TTevOAEjHy;0.351;0.622;8;-6,495;0.235;0.256;3.44e-05;0.613;0.457;83.375;253387
3Ye4lLxSc4Sbnqc8mCxAqS;0.555;0.811;10;-7,483;0.498;0.0301;0.0;0.108;0.565;77.073;324707
5jbG38paHIeVJc57uXUNYt;0.651;0.717;9;-5,201;0.0296;0.44;0.0;0.13;0.501;125.976;225240
6mz1fBdKATx6qP4oP1I65G;0.749;0.605;8;-9,359;0.086;0.00186;0.0381;0.115;0.966;142.024;251733
2beHQY7DvKp9q4vwilKKRS;0.712;0.473;6;-4,413;0.0693;0.057;0.0;0.182;0.327;86.965;192973
2SLZ2rX5773RS16mcqBxG7;0.677;0.52;4;-6,255;0.334;0.00277;0.0;0.0532;0.768;203.862;193093
6WsrPT9yw9gZyZn5ok3E0K;0.686;0.695;10;-6,087;0.174;0.44;6.37e-06;0.314;0.541;140.25;178264
2adBJEXBiScnmdgqZe5OMM;0.649;0.782;0;-5,859;0.0635;0.127;0.0;0.11;0.323;102.023;155968
3wwo0bJvDSorOpNfzEkfXx;0.635;0.537;7;-7,895;0.0832;0.172;0.0;0.418;0.383;125.028;215381
3rBDty01BRxfQ0C3LjLN3X;0.673;0.955;6;-2,807;0.0615;0.0748;0.741;0.351;0.302;128.014;193125
3m5BfIDqu6Od3RU9cnWDNM;0.692;0.766;6;-7,819;0.286;0.3;0.0;0.0445;0.707;191.826;253013
2FygRDP2PuxcvWGGyf3nao;0.826;0.409;11;-10,69;0.113;0.766;0.625;0.101;0.469;135.987;130588
1iEwyiSLAunPR6uouANE0O;0.702;0.73;0;-5,173;0.099;0.425;1.25e-06;0.148;0.879;173.967;206693
3OAZLnU0Ss6TRHtFZ2B6UF;0.777;0.805;1;-12,468;0.069;0.163;3.61e-06;0.532;0.872;127.01;258267
2jz4XbBHonx48cyTgvcBt5;0.671;0.484;2;-10,409;0.383;0.567;0.0;0.085;0.765;104.667;281143
4kOy2SbIbkqI55aiAVoe6r;0.68;0.688;0;-13,747;0.0335;0.0142;1.68e-06;0.343;0.903;127.98;142994
69eXHDgEEQ6itzt03E7fKz;0.834;0.538;4;-5,54;0.246;0.191;0.0;0.113;0.536;97.025;178907
6AfvfheW6VzyV1MNyZ9XXd;0.628;0.98;5;-2,776;0.0766;0.0105;0.0687;0.444;0.464;128.093;205584
5vCjGrZlBaIeOR3uoYIAeE;0.785;0.62;8;-8,696;0.0608;0.0635;0.0;0.0615;0.861;82.01;251096
6PtXobrqImYfnpIxNsJApa;0.614;0.972;5;-3,927;0.088;0.00125;0.0186;0.328;0.411;127.966;170625
4UEuIEv9Wc3wtiWUplGJ7q;0.785;0.626;4;-8,03;0.0675;0.158;4.6e-06;0.181;0.183;154.946;193211
7MpYTQdxdkrXv2jgXNViBj;0.673;0.672;5;-6,699;0.0612;0.0119;0.0;0.237;0.62;114.957;155928
7N06jo3EnV792VFaG8vuW6;0.818;0.823;11;-3,563;0.2;0.0663;1.17e-05;0.133;0.52;128.136;160794
2Wb7cfgUCj3C95H5vCrsGg;0.387;0.693;10;-7,865;0.0589;0.182;0.0;0.171;0.287;149.187;201612
6ZpX80KeWliOS2xBiQiaN4;0.664;0.231;9;-12,696;0.0372;0.866;1.62e-05;0.0998;0.127;89.959;242048
4prKnlKzzw1O8KoxjqExdR;0.74;0.762;5;-5,172;0.158;0.0657;0.0;0.182;0.829;115.085;214113
1ZU6gtKny8alXlok1haqVf;0.691;0.89;10;-2,665;0.333;0.228;0.0;0.0872;0.156;90.274;206187
555ix1gW9A1QtXoVfCPbfB;0.566;0.666;5;-5,742;0.163;0.0161;1.99e-05;0.231;0.394;121.998;177727
5XMRDVl28VdvfqL0IFIiss;0.697;0.733;6;-5,265;0.329;0.0487;1.18e-06;0.103;0.828;173.009;359173
0HUeFoQFiMUPKxFApxyPwL;0.659;0.69;0;-8,315;0.0617;0.179;1.99e-05;0.208;0.646;159.989;196749
5VkHTogGhpdkLv0bOtlVjt;0.431;0.597;9;-12,934;0.194;0.353;0.42;0.153;0.617;136.241;325733
7FrQfROirwZQH9YPskADJA;0.778;0.404;2;-7,218;0.0459;0.623;0.019;0.105;0.66;80.502;175901
0aMs9TzfoK8n8nRxatnNkQ;0.674;0.83;3;-2,687;0.0363;0.00457;0.00665;0.253;0.359;128.083;184219
3QfD4bxxkopZL7XZ8RaezH;0.809;0.528;8;-6,886;0.12;0.353;5.86e-06;0.0897;0.491;103.923;195285
5EwwwdsQfKI8ZnFG93j5Zu;0.45;0.898;8;-3,604;0.0395;0.0277;0.0616;0.166;0.22;127.983;218437
3Nkqp3NSGWMXVVO08zGpN7;0.769;0.759;6;-4,393;0.051;0.0545;0.000628;0.101;0.68;105.993;202347
0AtY4uFaYBIl6tAjONkk1Z;0.518;0.63;6;-5,968;0.199;0.00997;0.0;0.101;0.576;195.958;183920
3ZCTVFBt2Brf31RLEnCkWJ;0.704;0.225;6;-14,454;0.0994;0.902;0.657;0.106;0.243;120.006;245426
6JzCO4ZzxAXhY86vTcqM1Q;0.543;0.876;10;-5,069;0.0512;0.0606;0.0;0.157;0.415;122.058;268840
2NxgsA7eJXj8sBSsoKP3OT;0.804;0.731;6;-7,36;0.225;0.00379;0.0;0.084;0.451;89.139;252493
31c9IHwCIONmUYW0jL7Riz;0.907;0.591;1;-7,507;0.105;0.000359;2.81e-05;0.0897;0.418;149.992;177604
6AfvfheW6VzyV1MNyZ9XXd;0.628;0.98;5;-2,776;0.0766;0.0105;0.0687;0.444;0.464;128.093;205584
1Sgj10byiGzPpI2IrXSFEn;0.817;0.552;8;-10,8;0.386;0.032;7.17e-06;0.826;0.808;102.011;291067
4phHbFt0h1NRXIgMNM8t0Q;0.657;0.843;6;-5,927;0.272;0.00498;2.5e-05;0.156;0.883;192.043;219333
4ns1XFP3W5JPyzvnAjMdHD;0.675;0.68;4;-5,01;0.256;0.0655;0.0;0.354;0.845;155.698;259040
3x6QCo3LClrqiJF19w8daE;0.86;0.604;6;-5,841;0.185;0.221;5.12e-05;0.114;0.874;95.094;242533
7oXRMDUzBPekkLRTJhSGvC;0.516;0.781;8;-4,004;0.0364;0.00136;0.000735;0.11;0.897;116.793;235587
4WUnM4KNZ0kjp0CUeoyOnS;0.532;0.407;6;-9,658;0.0233;0.235;0.0;0.117;0.23;83.207;259853
1kU7R70RdjUqZyKTmWuqFr;0.763;0.818;4;-2,778;0.184;0.257;0.0;0.0845;0.211;101.09;201213
