song_id;danceability;energy;key;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms
0vSWgAlfpye0WCGeNmuNhy;0.85;0.893;5;-4,783;0.0623;0.0138;4.14e-06;0.372;0.0391;109.025;98821
0DfqzZnW2KhiyXjVQiFioT;0.769;0.832;7;-2,985;0.048;0.0291;1.46e-06;0.386;0.772;91.53;284907
6eEYGGFfFbtKHCgJM4uh9v;0.428;0.599;4;-2,135;0.0286;0.0665;9.86e-06;0.137;0.134;125.83;301730
5YpbeNBco1kDTt58JCjBn7;0.745;0.83;8;-3,678;0.0507;0.0733;0.0;0.0628;0.645;99.003;215759
57ebBLITHpRgRKGrlbxMZS;0.202;0.644;11;-5,212;0.0324;0.0979;0.0;0.109;0.252;85.04;267080
5DKF4rdNbvPLPXDGeZjEYk;0.683;0.898;2;-5,332;0.0828;0.226;0.0;0.054;0.96;171.956;178341
5GUYJTQap5F3RDQiCOJhrS;0.572;0.209;8;-10,413;0.0313;0.765;0.0;0.356;0.446;80.069;249668
0SQ8yalm13UIJuebuZkQlH;0.902;0.621;9;-5,315;0.199;0.0841;0.0;0.138;0.497;114.007;236300
0EG1aud0wJV0BneTJDifof;0.361;0.204;9;-14,904;0.0414;0.679;0.0;0.159;0.157;135.427;278400
0prNGof3XqfTvNDxHonvdK;0.573;0.739;0;-5,74;0.129;0.0285;0.0;0.111;0.451;97.085;230227
30cW9fD87IgbYFl8o0lUze;0.751;0.657;6;-4,642;0.0989;0.0955;0.0;0.0945;0.532;118.029;176517
2RaA6kIcvomt77qlIgGhCT;0.362;0.961;2;-5,664;0.0857;0.024;9.35e-06;0.159;0.491;164.019;153840
4TAob1aRbfOiNqlE8qSISX;0.732;0.746;0;-6,435;0.146;0.675;1.86e-05;0.386;0.561;102.999;153066
5cduio5YcoomK018qKCtsK;0.503;0.934;0;-5,826;0.0774;0.0201;0.0003;0.21;0.507;94.976;195960
28nrOocj11pS0UVH2VM6b5;0.822;0.611;0;-5,448;0.17;0.0292;0.0;0.0628;0.567;105.052;176944
7DNGqrLnd07C2FPpAdn6cc;0.472;0.181;10;-11,417;0.0406;0.896;1.02e-06;0.11;0.198;116.155;208573
7rKKh8AGVXuNXgLBpTBTFH;0.546;0.871;10;-5,81;0.148;0.139;8.28e-05;0.104;0.303;189.723;198107
57GgptBE1aWcVn83dWVjU1;0.507;0.844;7;-8,679;0.0385;0.00389;0.342;0.991;0.314;100.227;283067
4tmERaVkzL7X64Oku4vDo0;0.512;0.5;9;-6,937;0.0282;0.828;0.0;0.0907;0.196;80.075;213427
5TysCiZtv1HnSWcTcUFusI;0.688;0.859;0;-4,447;0.0609;0.186;0.0;0.121;0.695;92.042;195813
06ZIzHhJFWf0mDyEylIPf0;0.806;0.439;8;-8,917;0.068;0.0625;0.00767;0.098;0.489;131.056;148238
0FrRYymxD95kUZNhcl3QFJ;0.258;0.968;7;-3,877;0.112;0.000852;0.627;0.826;0.21;185.35;218595
1yZfyNarqiwD8eJBswXplK;0.548;0.534;9;-10,493;0.342;0.0898;0.0;0.138;0.192;155.872;224679
6qhgi3McyMuwZv2GLR2aHP;0.817;0.859;7;-4,794;0.0902;0.186;0.00142;0.291;0.567;99.994;185427
6VZ9ABcY9QeQSxOjZwLrVv;0.566;0.82;2;-3,736;0.0517;0.481;7.84e-06;0.0836;0.753;92.397;307320
04Glred2wGdSNH11Qh4EDe;0.59;0.685;0;-5,216;0.0282;6.58e-05;3.08e-05;0.165;0.425;112.411;226667
4TK1fmhOkCxVXfBGcqGrhz;0.617;0.878;2;-5,171;0.167;0.00192;0.0639;0.113;0.823;193.445;207133
1FmdAhS8FqRoEJ4jcSfuKZ;0.388;0.777;1;-5,55;0.241;0.00575;0.0;0.288;0.192;175.933;298133
3XeFCWwUkalXOxGxHYiPqM;0.57;0.899;0;-1,63;0.055;0.000332;0.591;0.13;0.0606;127.999;288809
5n8Y78Pl5q8lqS7sJP61qw;0.741;0.943;1;-1,401;0.0456;0.0486;0.0;0.965;0.725;124.984;180736
60ubljabcQKHeMpjiypBcH;0.539;0.565;0;-14,124;0.0321;0.189;9.24e-06;0.0996;0.517;137.472;207307
4339KjMRnlrI8up0Pq8aaq;0.649;0.648;2;-12,679;0.0458;0.00187;0.0925;0.106;0.822;118.782;397000
0Zk0jUiOIn6hcViDB3aMKx;0.818;0.807;2;-7,55;0.238;0.0208;0.0;0.25;0.571;134.024;259801
6OHE5FN7U3py0MHxb8iZzY;0.711;0.419;0;-6,353;0.145;0.294;0.00013;0.0622;0.592;188.597;252370
1OnbbH3s2c77QYqjmJugQh;0.773;0.813;2;-4,246;0.349;0.0527;0.0;0.285;0.321;117.288;211027
64uoVmmhw2CUhFAOhDW1Zb;0.72;0.635;2;-10,043;0.269;0.0319;0.0;0.0441;0.358;105.89;165283
2BuJrxYKhYky20dQqTlobO;0.719;0.265;2;-12,782;0.0754;0.296;0.0865;0.108;0.273;80.021;152480
0Bs0hUYxz7REyIHH7tRhL2;0.166;0.831;9;-8,469;0.0894;0.000606;0.846;0.811;0.281;167.518;269787
1oKGWEEUp7Uuvh8jM37vm0;0.598;0.895;8;-4,76;0.32;0.0905;0.0;0.132;0.775;139.829;211509
2yfu1w0yFYHAHnr4p5JS7V;0.484;0.875;4;-5,237;0.0541;0.00154;9.64e-05;0.169;0.724;150.021;184436
3DlgDXIYtnWtJKiB8bZQMv;0.777;0.662;7;-8,393;0.27;0.536;4.61e-06;0.593;0.634;111.13;201733
4EmdSvY5pvzu9COEtPOiR0;0.721;0.62;0;-10,766;0.0662;0.042;0.00113;0.0407;0.699;109.952;224200
2EHb6XNNMtMVpWesvndBzB;0.503;0.713;8;-5,795;0.0405;0.0791;0.0;0.215;0.345;89.799;212467
4iNapoO1i7iWZxS0v2DCsq;0.557;0.656;10;-4,787;0.0813;0.189;0.0;0.162;0.475;130.071;182067
38d6HehLHsQoP09YJvMtJT;0.532;0.885;10;-7,869;0.04;0.0069;0.0404;0.384;0.216;150.009;168471
20ctnlkFhUjbTflVEnG4WO;0.399;0.969;0;-4,145;0.0758;0.00348;0.0;0.386;0.287;90.012;178789
41mqrgHlbSBA3LPypIfUoi;0.846;0.844;1;-2,848;0.0623;0.298;0.000184;0.171;0.562;129.968;177346
4AY7tI7HF5cN8PPnv2p34G;0.672;0.455;7;-9,691;0.0304;0.384;0.719;0.0948;0.483;82.058;355204
7nCUy2nKoBQQDwT5f2GDQW;0.615;0.537;10;-9,315;0.0293;0.453;4.32e-06;0.0924;0.349;136.625;282013
5fJsLklkTSZlEbA5yJKzab;0.531;0.937;6;-5,932;0.0399;0.00493;7.31e-06;0.135;0.135;121.986;339107
67F9MFQj4YZG2i0V0HCMUs;0.643;0.633;2;-8,788;0.0316;0.303;0.0;0.119;0.228;115.246;240680
4LbqL11mb75PKwfQvbVVUJ;0.587;0.787;9;-3,472;0.0941;0.00046;0.789;0.0835;0.266;128.013;363750
1LDDUVvutZ3qxvnOrulCBM;0.669;0.793;1;-6,16;0.0403;0.0318;0.0372;0.555;0.159;121.995;220205
29SyMC0plk6qw8NMF7lfRL;0.573;0.939;8;-6,441;0.0808;0.493;0.0;0.0994;0.963;137.382;134253
3Lp8Xd2K7TwlY32SPvXkvF;0.594;0.26;5;-9,062;0.0601;0.779;0.0;0.0924;0.303;84.648;144387
0uppYCG86ajpV2hSR3dJJ0;0.666;0.936;7;-9,919;0.0476;0.00244;0.086;0.153;0.776;91.577;282907
6SoVI1qSkmyJG95BF5oFtR;0.894;0.569;2;-7,144;0.0406;0.0378;9.88e-05;0.0636;0.827;110.005;251381
6SyPnh5ysbRjmZHIlOKp4r;0.356;0.611;7;-5,312;0.0357;0.0892;0.0;0.178;0.393;129.385;178200
5HoC9hffOsN30JKLU6chQF;0.602;0.841;7;-2,567;0.0426;0.0275;0.0;0.175;0.325;99.957;242687
2NjO87HyT80fsgejd3PLYW;0.736;0.756;11;-7,099;0.047;0.00632;0.00577;0.106;0.712;117.016;231847
0mG5rhH4TE9Gkb1BHqahJR;0.502;0.536;11;-10,136;0.0258;0.504;0.259;0.148;0.458;86.591;326707
6LldfZLHQMlNYLG19mDR6x;0.462;0.287;10;-19,148;0.0858;0.939;0.905;0.0801;0.121;127.98;151500
7nrtHjt4Vk4Z5jMHOwaS8F;0.715;0.702;4;-6,055;0.0296;0.109;7.73e-06;0.255;0.954;127.446;171293
65Cf9WzO1Uu5jpW92sfAPS;0.713;0.849;8;-8,147;0.0474;0.00635;0.133;0.0693;0.584;123.027;228293
2ZoGSx11fDWZRbVTAJrs1P;0.718;0.809;11;-8,579;0.0503;0.00957;4.86e-06;0.0718;0.772;105.124;276533
4dqoJHdxf9Ez4DDqGh2PBc;0.795;0.676;6;-6,429;0.0589;0.138;0.00373;0.0734;0.882;100.045;158447
