camis	dba	zipcode	cuisine_description
41686846	EL DIAMANTE RESTAURANT	10457.0	Spanish
50051458	SUPER KENNEDY'S CHICKEN & SANDWICH	10468.0	Chicken
41668846	FRUIT AND VEGETABLES ANAYELYS BOUTIQUE	10458.0	Spanish
41351748	SUBWAY	10467.0	Sandwiches
40781213	CARIDAD	10461.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
40386672	FRANK'S SOUP BOWL	10469.0	Caribbean
41615635	PERISTA RESTAURANT	10468.0	American
40680764	JOE'S PLACE	10472.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
50057220	SUBWAY	10467.0	Sandwiches
50045835	SUBWAY	10473.0	Sandwiches/Salads/Mixed Buffet
50063608	TORTOISE & HARE	10471.0	American
41118203	NATIONAL BAKERY	10459.0	Bakery
50000796	EL NUEVO BOHIO RESTAURANT	10456.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
50000881	ROSARINA BAKERY	10463.0	Bakery
50037770	OASIS RESTAURANT & BAR	10470.0	Caribbean
41579300	METATE MEXICAN RESTAURANT	10463.0	Mexican
41166704	MAESTRO CATERERS	10462.0	American
50064670	MS CARIDAD RESTAURANT	10473.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
41595841	BROTHERS SEAFOOD	10451.0	Seafood
41384895	EL VALLE RESTAURANT		Latin (Cuban, Dominican, Puerto Rican, South & Central American)
50013463	PRETZEL MAKER	10475.0	Bagels/Pretzels
50053660	CHINA KING OGDEN RESTAURANT	10452.0	Chinese
40618714	WEBSTER CAFE	10458.0	American
50002543	NEW SHENG CHINESE KITCHEN	10459.0	Chinese
50051335	MASTER WOK	10475.0	Chinese
50001015	TRA DI NOI	10458.0	Italian
50073179	STAR RESTAURANT	10459.0	Spanish
41473669	DUNKIN' DONUTS	10471.0	Donuts
50072114	PIZZA CACHAPAS	10452.0	Pizza/Italian
41472740	DOUBLE DRAGON RESTAURANT	10456.0	Chinese
50056565	JOY GARDEN	10462.0	Chinese
41280104	NO 1 LUCK SUNG RESTAURANT	10458.0	Chinese
50018121	RANCH RESTAURANT	10460.0	Caribbean
50064644	LA CUCHARA	10453.0	Spanish
50011723	NEW FRESCO TORTILLAS TOMMY'S KITCHEN	10461.0	Chinese/Cuban
41693835	KENNEDY FRIED CHICKEN	10451.0	Chicken
40819558	JAKE'S STEAKHOUSE	10471.0	Steak
50058412	ANGIOLINA'S RESTAURANT	10452.0	Spanish
50014114	OLIVE GARDEN	10475.0	Italian
41596825	SUBWAY	10467.0	Sandwiches
50060160	$ 1 SLICE PIZZA	10467.0	Pizza
50069475	FRESH SMOOTHIES	10468.0	Sandwiches/Salads/Mixed Buffet
50014114	OLIVE GARDEN	10475.0	Italian
40674404	MARKET RESTAURANT (C-D BLOCK)	10474.0	American
50053515	MARTIN'S FOODZ 2 GO	10466.0	Caribbean
41076903	GOLDEN KRUST CARIBBEAN BAKERY & GRILL	10462.0	Caribbean
41349544	JERRY'S PIZZA	10462.0	Pizza
41463780	CHAN'S VILLAGE	10462.0	Chinese
50085944	GOLDEN CHEF	10461.0	Other
50050459	LE WAFOU	10457.0	African
40525767	CAPRI II PIZZA	10475.0	Pizza
41074629	DOMINO'S	10460.0	Pizza
50016943	EL NUEVO ROBLE BILLIARDS	10456.0	Spanish
41533970	DUNKIN' DONUTS	10458.0	American
50047621	NALLELI PIZZA & TACOS	10455.0	Pizza
50063408	GIGI'S PIZZA & PASTA	10461.0	Pizza/Italian
50018121	RANCH RESTAURANT	10460.0	Caribbean
50014338	HARMONY CAFE (LEHMAN COLLEGE)l	10468.0	Caf̩/Coffee/Tea
41579661	DUNKIN' DONUTS	10465.0	Donuts
41311174	JIMBO'S HAMBURGER PALACE	10473.0	American
41634303	LA ESTRELLA TROPICAL	10467.0	Spanish
41591008	KFC	10469.0	Chicken
40386672	FRANK'S SOUP BOWL	10469.0	Caribbean
41710798	MANGIAS PIZZA AND PIZZA	10461.0	Pizza/Italian
41598329	BOSTON ROAD CHINA	10469.0	Chinese
50032577	KISMET CATERERS	10462.0	American
50007857	DON PANCHOLO LECHONERA RESTAURANT	10453.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
50078290	LYDIG COFFEE SHOP	10462.0	American
41308105	EMILIO'S PIZZA		Pizza
50035953	EL NUEVO PATIO	10452.0	Spanish
41450971	GIOVANNI'S RESTAURANT	10461.0	Pizza/Italian
41604710	LITTLE CAESARS	10458.0	Pizza
41543996	VAN NEST LANES SNACK BAR	10462.0	American
50075543	FOO HING KITCHEN	10454.0	Chinese
41091113	EL JOBO RESTAURANT	10453.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
41176558	DUNKIN' DONUTS, PIZZA HUT, TACO EXPRESS	10462.0	American
50014338	HARMONY CAFE (LEHMAN COLLEGE)l	10468.0	Caf̩/Coffee/Tea
41406318	EL BOHIO TROPICAL	10461.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
41689915	TRIPLE T PIZZA & BURGERS	10469.0	Pizza
50059794	COCINA CHENTE MEXICAN CUISINE	10463.0	Mexican
41589363	LOCKE'S LOFT	10471.0	American
50065555	FIVE STAR PIZZA & BURGERS	10467.0	Pizza
41373724	THE ORIGINAL BLUE CANTINA	10469.0	Caribbean
50004304	OASIS COFFEE SHOP	10474.0	Other
41178943	GOLDEN PALACE CHINESE RESTAURANT	10473.0	Chinese
41511660	EL ECONOMICO RESTAURANT	10463.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
41660892	LECHONERA & POLLO SABROSO RESTAURANT	10456.0	Spanish
40742990	DOMINO'S	10462.0	Pizza
40396548	PUGSLEY PIZZA	10458.0	Pizza
