camis	dba	zipcode	cuisine_description
41589763	BISTRO MARKETPLACE/LIBERTY CATERING	10017.0	Delicatessen
41225243	PATSY'S PIZZERIA	10017.0	Pizza/Italian
41672903	MALONEY & PORCELLI	10022.0	American
50045180	NANOOSH	10112.0	Mediterranean
41710976	SWEET MAMA'S SOUL FOOD	10037.0	Soul Food
50062479	DENG JI ll	10002.0	Chinese
50078711	THAI SELECT	10018.0	Thai
50015171	NEW AMSTERDAM THEATER	10036.0	American
50067686	BLUESTONE LANE	10014.0	Caf̩/Coffee/Tea
41593541	HARLEM TAVERN	10026.0	American
41216192	STARBUCKS	10003.0	Caf̩/Coffee/Tea
50065094	HUB THAI	10009.0	Thai
41250454	ALICE'S TEA CUP	10028.0	American
40402397	THE RIVER CLUB	10022.0	American
40644922	MANA	10025.0	Vegetarian
40852659	CHELSEA SQUARE RESTAURANT	10011.0	American
50033983	KIKI'S	10002.0	Greek
50018732	LA CONTENTA	10002.0	Mexican
50012179	TAQUERIA EL BARRIO	10035.0	Spanish
41545583	GAIA ITALIAN CAFE	10002.0	Italian
50001877	RIZZO FINE PIZZA	10002.0	Pizza
41689018	COCORON	10012.0	Japanese
41715694	DUANE PARK	10012.0	American
41311907	KENNEDY FRIED CHICKEN	10029.0	Chicken
50077468	TASZO	10033.0	Other
50072227	KABISERA KAPE	10002.0	Caf̩/Coffee/Tea
40726811	RELIABLE FOOD	10022.0	American
50032704	BY CHLOE	10012.0	Vegetarian
50006214	ABACE SUSHI	10036.0	Japanese
50035310	DANTE	10012.0	Italian
50016060	SENN THAI COMFORT FOOD	10024.0	Thai
50001225	THE FLYING COCK PUB	10016.0	Irish
40617736	BOTTINO	10001.0	Italian
50047782	THE WEIR	10128.0	American
50045829	MAXWELL'S BAR & RESTAURANT	10029.0	American
41213163	PAESANO'S	10013.0	Italian
41294955	DEAN & DELUCA	10019.0	Caf̩/Coffee/Tea
50061236	SWEET MOMENT	10013.0	Caf̩/Coffee/Tea
50077622	TENZAN SUSHI	10023.0	Japanese
50049611	WICHCRAFT	10007.0	Sandwiches
50011580	KODAMA SUSHI	10036.0	Japanese
50058195	LIANJIANG RESTAURANT	10002.0	Chinese
40760809	EL NUEVO AMANECER RESTAURANT	10002.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
41586283	DOS TOROS TAQUERIA	10014.0	Tex-Mex
41007946	FRAMES BOWLING LOUNGE	10018.0	American
50046224	BAKER'S PIZZA	10009.0	Pizza
41408551	APOLLO THEATRE CONCESSIONS	10027.0	American
41130849	PATZERIA'S PERFECT PIZZA	10036.0	Pizza
41000961	BLEECKER STREET PIZZA	10014.0	Pizza
41610768	SCHNIPPER'S	10010.0	American
41628345	DAVIDSTEA	10065.0	Caf̩/Coffee/Tea
40577676	SARABETH'S KITCHEN	10128.0	American
50000974	TABLE 71 @ MARRIOTT CORTYARD	10001.0	Continental
50053413	EAST SIDE DINER	10010.0	American
50056908	ANCOLIE	10011.0	Salads
50047785	CAPPONE'S	10011.0	Italian
41657014	PICCOLO CAFE	10023.0	Italian
41648643	STICKY'S FINGER JOINT #1	10011.0	Chicken
41349247	CRUNCH PIT STOP	10022.0	Juice, Smoothies, Fruit Salads
40976304	ART BAR	10014.0	American
41447825	CHEEKY SANDWICHES	10002.0	Sandwiches
41014806	SUBWAY	10019.0	Sandwiches
41005152	CAFE K	10017.0	Jewish/Kosher
41487544	NANOOSH	10016.0	Mediterranean
50005906	STARBUCKS	10017.0	Caf̩/Coffee/Tea
50063947	DECCAN SPICE	10016.0	Indian
50033212	BUDDHA BODAI KOSHER VEGETARIAN RESTAURANT	10013.0	Vegetarian
41641934	GEORGETOWN CUPCAKE SOHO	10012.0	Bakery
41520658	V-NAM CAFE	10009.0	Vietnamese/Cambodian/Malaysia
