nRest	inspection_date	action	violation_code	violation_description	critical_flag	score	grade	inspection_type
41686846	02/03/2017	Violations were cited in the following area(s).	04H	Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.	CRITICAL	23.0	B	Cycle Inspection / Re-inspection
50051458	07/26/2016	Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	CRITICAL	40.0		Pre-permit (Operational) / Compliance Inspection
41668846	02/05/2018	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	10.0	A	Cycle Inspection / Re-inspection
41351748	08/11/2016	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	NOT CRITICAL	2.0	A	Cycle Inspection / Initial Inspection
40781213	06/16/2017	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	9.0	A	Cycle Inspection / Initial Inspection
40386672	2018-16-03	Violations were cited in the following area(s).	02B	Hot food item not held at or above 140Âº F.	Critical	25.0		Cycle Inspection / Initial Inspection
41615635	11/01/2017	Violations were cited in the following area(s).	04M	Live roaches present in facility's food and/or non-food areas.	CRITICAL	11.0	A	Cycle Inspection / Re-inspection
40680764	09/21/2018	Violations were cited in the following area(s).	06A	Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.	Critical	25.0		Cycle Inspection / Initial Inspection
50057220	05/29/2018	Violations were cited in the following area(s).	06D	Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.	CRITICAL	27.0		Cycle Inspection / Initial Inspection
50045835	10/05/2018	Violations were cited in the following area(s).	04H	Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.	CRITICAL	12.0	A	Cycle Inspection / Initial Inspection
50063608	10/16/2017	Violations were cited in the following area(s).	08C	Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.	Not Critical	36.0		Pre-permit (Operational) / Initial Inspection
41118203	09/02/2016	Violations were cited in the following area(s).	20F	Current letter grade card not posted.	Not Critical			Administrative Miscellaneous / Initial Inspection
50000796	04/17/2015	Violations were cited in the following area(s).	02G	Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.	Critical	47.0		Cycle Inspection / Initial Inspection
50000881	02/07/2017	Violations were cited in the following area(s).	06B	Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.	Critical	12.0	A	Cycle Inspection / Re-inspection
50037770	02/22/2017	Violations were cited in the following area(s).	08C	Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.	Not Critical	34.0		Cycle Inspection / Initial Inspection
41579300	09/18/2017	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	CRITICAL	17.0	B	Cycle Inspection / Re-inspection
41166704	07/13/2016	Violations were cited in the following area(s).	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	Critical	12.0	A	Cycle Inspection / Re-inspection
50064670	04/18/2018	Violations were cited in the following area(s).	09A	Canned food product observed dented and not segregated from other consumable food items.	Not Critical	12.0		Cycle Inspection / Initial Inspection
41595841	03/17/2016	Violations were cited in the following area(s).	02G	Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.	Critical	33.0		Cycle Inspection / Initial Inspection
41384895	01/29/2018	Violations were cited in the following area(s).	09B	Thawing procedures improper.	NOT CRITICAL	13.0	A	Cycle Inspection / Initial Inspection
50013463	11/01/2017	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	12.0	A	Cycle Inspection / Initial Inspection
50053660	11/16/2016	Violations were cited in the following area(s).	06B	Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.	Critical	31.0		Pre-permit (Operational) / Initial Inspection
40618714	08/11/2016	No violations were recorded at the time of this inspection.			NOT APPLICABLE			Administrative Miscellaneous / Initial Inspection
50002543	08/11/2015	Violations were cited in the following area(s).	06E	Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.	Critical	15.0		Cycle Inspection / Initial Inspection
50051335	04/25/2018	Violations were cited in the following area(s).	09C	Food contact surface not properly maintained.	Not Critical	10.0		Cycle Inspection / Initial Inspection
50001015	02/28/2018	Violations were cited in the following area(s).	04M	Live roaches present in facility's food and/or non-food areas.	Critical	28.0	C	Cycle Inspection / Re-inspection
50073179	09/21/2018	Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.	04M	Live roaches present in facility's food and/or non-food areas.	Critical	73.0		Cycle Inspection / Initial Inspection
41473669	09/26/2016	Violations were cited in the following area(s).	06D	Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.	CRITICAL	20.0		Cycle Inspection / Initial Inspection
50072114	06/20/2018	Violations were cited in the following area(s).	06E	Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.	Critical	13.0	A	Pre-permit (Operational) / Re-inspection
41472740	07/03/2018	Establishment re-opened by DOHMH	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	NOT CRITICAL	2.0	Z	Cycle Inspection / Reopening Inspection
50056565	07/05/2018	Violations were cited in the following area(s).	02B	Hot food item not held at or above 140Âº F.	Critical	18.0	B	Cycle Inspection / Re-inspection
41280104	05/01/2017	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	14.0	B	Cycle Inspection / Re-inspection
50018121	11/09/2018	Violations were cited in the following area(s).	09C	Food contact surface not properly maintained.	not critical	19.0	Z	Cycle Inspection / Re-inspection
50064644	06/12/2018	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	56.0		Pre-permit (Operational) / Initial Inspection
50011723	02/14/2018	Violations were cited in the following area(s).	06E	Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.	Critical	11.0	A	Cycle Inspection / Re-inspection
41693835	10/13/2015	Violations were cited in the following area(s).	04A	Food Protection Certificate not held by supervisor of food operations.	critical	12.0	A	Cycle Inspection / Re-inspection
40819558	11/13/2015	Violations were cited in the following area(s).	10J	''''Wash hands sign not posted at hand wash facility.	NOT CRITICAL	17.0		Cycle Inspection / Initial Inspection
50058412	10/01/2018	Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.	02B	Hot food item not held at or above 140Âº F.	CRITICAL	51.0		Cycle Inspection / Initial Inspection
50014114	02/13/2017	Violations were cited in the following area(s).	04H	Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.	Critical	12.0		Cycle Inspection / Initial Inspection
41596825	04/21/2016	Violations were cited in the following area(s).	06D	Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.	Critical	13.0	A	Cycle Inspection / Initial Inspection
50060160	06/30/2018	Violations were cited in the following area(s).	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	Critical	20.0	B	Cycle Inspection / Re-inspection
50069475	12/08/2017	Violations were cited in the following area(s).	10B	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	NOT CRITICAL	7.0	A	Pre-permit (Operational) / Re-inspection
50014114	03/24/2016	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	23.0		Cycle Inspection / Initial Inspection
40674404	11/15/2016	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	12.0	A	Cycle Inspection / Initial Inspection
50053515	02/27/2017	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	6.0	A	Cycle Inspection / Re-inspection
41076903	07/12/2016	Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	critical	27.0		Cycle Inspection / Initial Inspection
41349544	06/29/2016	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	13.0	A	Cycle Inspection / Re-inspection
41463780	07/15/2017	Violations were cited in the following area(s).	02B	Hot food item not held at or above 140Âº F.	Critical	9.0	A	Cycle Inspection / Initial Inspection
50085944	01/01/1900				Not Applicable			
50050459	07/03/2018	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	33.0	C	Cycle Inspection / Re-inspection
40525767	10/02/2018	Violations were cited in the following area(s).	02H	Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.	CRITICAL	24.0		Cycle Inspection / Initial Inspection
41074629	11/06/2015	Violations were cited in the following area(s).	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	CRITICAL	11.0	A	Cycle Inspection / Re-inspection
50016943	07/18/2017	Violations were cited in the following area(s).	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	CRITICAL	19.0		Cycle Inspection / Initial Inspection
41533970	08/09/2017	Violations were cited in the following area(s).	09C	Food contact surface not properly maintained.	Not Critical	11.0	A	Cycle Inspection / Re-inspection
50047621	05/16/2016	Violations were cited in the following area(s).	02B	Hot food item not held at or above 140Âº F.	Critical	34.0		Pre-permit (Operational) / Initial Inspection
50063408	07/06/2018	Violations were cited in the following area(s).	02G	Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.	Critical	7.0	A	Cycle Inspection / Re-inspection
50018121	09/08/2018	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	18.0		Cycle Inspection / Initial Inspection
50014338	11/15/2017	Violations were cited in the following area(s).	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	Critical	11.0		Cycle Inspection / Initial Inspection
41579661	08/09/2016	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	not critical	2.0	A	Cycle Inspection / Initial Inspection
41311174	10/29/2015	Violations were cited in the following area(s).	02A	Food not cooked to required minimum temperature.	Critical	10.0		Cycle Inspection / Initial Inspection
41634303	02/08/2016	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	CRITICAL	12.0		Cycle Inspection / Initial Inspection
41591008	11/29/2018	Violations were cited in the following area(s).	02G	Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.	critical	12.0	A	Cycle Inspection / Initial Inspection
40386672	09/28/2017	Violations were cited in the following area(s).	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	CRITICAL	13.0	A	Cycle Inspection / Re-inspection
41710798	01/05/2018	Violations were cited in the following area(s).	10B	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	10.0	A	Cycle Inspection / Initial Inspection
41598329	06/02/2016	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	29.0		Cycle Inspection / Initial Inspection
50032577	02/15/2017	Violations were cited in the following area(s).	04A	Food Protection Certificate not held by supervisor of food operations.	CRITICAL	10.0	A	Cycle Inspection / Re-inspection
50007857	11/09/2015	Violations were cited in the following area(s).	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	Critical	17.0		Cycle Inspection / Initial Inspection
50078290	07/20/2018	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	11.0	A	Pre-permit (Operational) / Initial Inspection
41308105	11/20/2017	Establishment re-closed by DOHMH	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	10.0		Cycle Inspection / Reopening Inspection
50035953	10/30/2018	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	23.0		Cycle Inspection / Initial Inspection
41450971	03/22/2018	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	20.0		Cycle Inspection / Initial Inspection
41604710	11/16/2017	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	4.0	A	Cycle Inspection / Initial Inspection
41543996	10/02/2014	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	11.0	A	Cycle Inspection / Re-inspection
50075543	03/23/2018	Violations were cited in the following area(s).	09C	Food contact surface not properly maintained.	NOT CRITICAL	47.0		Pre-permit (Operational) / Initial Inspection
41091113	04/11/2017	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	CRITICAL	10.0		Cycle Inspection / Initial Inspection
41176558	08/13/2018	Violations were cited in the following area(s).	02B	Hot food item not held at or above 140Âº F.	CRITICAL	11.0	A	Cycle Inspection / Re-inspection
50014338	09/09/2016	Violations were cited in the following area(s).	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	Critical	13.0		Cycle Inspection / Initial Inspection
41406318	11/07/2015	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	19.0		Cycle Inspection / Initial Inspection
41689915	04/06/2018	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	10.0	A	Cycle Inspection / Initial Inspection
50059794	06/27/2017	Violations were cited in the following area(s).	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	Critical	38.0		Pre-permit (Operational) / Initial Inspection
41589363	04/20/2016	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	10.0	A	Cycle Inspection / Re-inspection
50065555	09/20/2018	Violations were cited in the following area(s).	04H	Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.	CRITICAL	27.0	B	Cycle Inspection / Re-inspection
41373724	03/03/2016	Violations were cited in the following area(s).	06F	Wiping cloths soiled or not stored in sanitizing solution.	critical	13.0	A	Cycle Inspection / Re-inspection
50004304	08/08/2018	Violations were cited in the following area(s).	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	critical	21.0		Cycle Inspection / Initial Inspection
41178943	03/16/2016	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	NOT CRITICAL	11.0	A	Cycle Inspection / Initial Inspection
41511660	02/17/2017	Violations were cited in the following area(s).	10I	Single service item reused, improperly stored, dispensed; not used when required.	Not Critical	13.0	A	Cycle Inspection / Initial Inspection
41660892	07/25/2015	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	35.0		Cycle Inspection / Initial Inspection
40742990	10/05/2016	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	NOT CRITICAL	23.0		Cycle Inspection / Initial Inspection
40396548	02/05/2018	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	CRITICAL	13.0	A	Cycle Inspection / Re-inspection
50048043	06/21/2016	Violations were cited in the following area(s).	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	CRITICAL	11.0	A	Pre-permit (Operational) / Re-inspection
41630060	10/15/2018	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	13.0	A	Cycle Inspection / Initial Inspection
41028321	05/22/2018	Violations were cited in the following area(s).	02B	Hot food item not held at or above 140Âº F.	CRITICAL	11.0	A	Cycle Inspection / Re-inspection
40395921	05/09/2018	Violations were cited in the following area(s).	10D	Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.	Not Critical	17.0		Cycle Inspection / Initial Inspection
41602165	04/28/2017	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	NOT CRITICAL	9.0	A	Cycle Inspection / Re-inspection
50043424	03/29/2016	Violations were cited in the following area(s).	10A	Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.	Not Critical	9.0	A	Pre-permit (Operational) / Re-inspection
50046462	02/27/2016	Violations were cited in the following area(s).	02B	Hot food item not held at or above 140Âº F.	Critical	44.0		Pre-permit (Operational) / Initial Inspection
41610874	07/27/2015	Violations were cited in the following area(s).	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	Critical	11.0		Cycle Inspection / Initial Inspection
40512746	11/14/2018	Violations were cited in the following area(s).	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	Critical	29.0		Cycle Inspection / Initial Inspection
41638031	04/21/2016	Violations were cited in the following area(s).	02G	Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.	Critical	22.0		Cycle Inspection / Initial Inspection
41658448	12/27/2016	Violations were cited in the following area(s).	04O	Live animals other than fish in tank or service animal present in facility's food and/or non-food areas.	CRITICAL	12.0	A	Cycle Inspection / Initial Inspection
