camis;dba;zipcode;cuisine_description
41250984;WING WAGON;11238.0;American
50045256;KENNEDY FRIED CHICKEN;11233.0;Chicken
50017854;MANNY'S;11233.0;American
41275941;KORZO;11215.0;German
50005327;LEA;11218.0;Italian
50019166;MAITE;11221.0;Spanish
41190059;PAL'S HERO SHOP;11224.0;American
41467627;DUMBO KITCHEN;11201.0;American
50057484;MIR BURGER;11235.0;Turkish
41649070;EMPIRE TACO;11207.0;Tex-Mex
41385681;PEGUSUS COFFEE SHOP;11209.0;American
40398532;PAVILLION CATERERS;11218.0;Jewish/Kosher
41677644;AUDREY'S CONCERTO;11214.0;Caf̩/Coffee/Tea
41555612;KINGSTON PIZZA;11225.0;Jewish/Kosher
50064311;FUDING WOK;11220.0;Chinese
41649070;EMPIRE TACO;11207.0;Tex-Mex
41076583;CHIP SHOP;11201.0;English
41110540;PIZZA CENTRAL OF BROOKLYN;11218.0;Pizza
50034296;BAKER'S TREATS;11226.0;Caribbean
50014381;CROWN GRILL HALAL CHICKEN;11216.0;Chicken
50036723;BOLAS GARDEN RESTAURANT & JERK CENTER;11212.0;Caribbean
50080280;PAN E VINO RESTAURANT BISTRO;11201.0;American
50058435;CHINA DELIGHT 699;11232.0;Chinese
50042740;TANDIR EXPRESS;11218.0;Russian
50058095;TEXAS CHICKEN & BURGERS;11226.0;American
40537963;NEW RUAN'S RESTAURANT;11214.0;Chinese
50016583;CHAMPS DINER;11206.0;Vegetarian
41672217;GREEN HOUSE RESTAURANT & PARTY HALL;11218.0;Bangladeshi
40400811;CAFE VOLNA;11235.0;Russian
50007074;BLESSINGS HERBS & COFFEE;11225.0;Caf̩/Coffee/Tea
41190059;PAL'S HERO SHOP;11224.0;American
50003764;EL PASO MEXICAN GRILL;11226.0;Mexican
41474882;BUKA;11238.0;African
41653101;MI PEQUENO RANCHITO;11219.0;Mexican
50067858;PD' MARIO RESTAURANT;11203.0;Spanish
41271274;UNCLE LOUIE G'S ITALIAN ICES & ICE CREAM;11228.0;Ice Cream, Gelato, Yogurt, Ices
41651670;CUPIDO'S RESTAURANT;11207.0;Latin (Cuban, Dominican, Puerto Rican, South & Central American)
50043129;KENNEDY FRIED CHICKEN & PIZZA;11208.0;Chicken
41541674;IHOP;11207.0;American
41676211;TURKISH EXPRESS;11230.0;Turkish
50033632;CROWN FRIED CHICKEN;11236.0;Chicken
41676147;MEI HAO RESTAURANT;11220.0;Chinese
40424418;TYME & PATIENCE BAKERY & GRILL;11210.0;Caribbean
41409985;ROSARIO PIZZA;11221.0;Pizza
40373160;KORNER PIZZERIA;11218.0;Pizza/Italian
41389061;BOTANICA;11231.0;American
50060077;LUNA PIZZERIA;11229.0;Pizza
40365546;REBEN LUNCHEONETTE;11211.0;American
40400638;CAFE PARIS;11235.0;Russian
41217162;KINARAS INDIAN FOOD;11205.0;Indian
50064842;UNCLE LOUIE G;11218.0;Ice Cream, Gelato, Yogurt, Ices
40645249;KIDS 'N' ACTION;11230.0;Jewish/Kosher
50044072;AVP COFFEE SHOP;11223.0;Mexican
41704437;MA-N-POP SOUL FOOD;11233.0;Soul Food
50033448;C. LO CAFE;11211.0;American
40371727;LA PALINA RESTAURANT;11204.0;Italian
41511019;PINE BOX ROCK SHOP;11206.0;American
50000980;KASUMI;11214.0;Japanese
50000141;BAY BAGELS;11204.0;American
