camis	dba	zipcode	cuisine_description
50011289	PASTAFINA PIZZA	10016.0	Pizza
41376041	BAGEL BOSS	10003.0	Jewish/Kosher
50065681	BUTTERFIELD (9TH FLOOR COFFEE BAR)	10003.0	Caf̩/Coffee/Tea
50047571	DUNKIN DONUTS	10001.0	Donuts
41615409	HOT KITCHEN	10003.0	Chinese
40380517	BARNEY GREENGRASS	10024.0	Jewish/Kosher
50004472	PISILLO ITALIAN PANINI	10038.0	Italian
41078357	SOJOURN	10075.0	Mediterranean
50018800	FRIEDMAN'S	10018.0	American
50015019	MBJ DOWNTOWN	10007.0	American
50007392	TABOGA	10034.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
50066463	53RD GOURMET DELI		American
50015263	LA POSADA MEXICAN FOOD	10016.0	Mexican
50077167	XANADU CAFE	10011.0	Caf̩/Coffee/Tea
41424141	LUCKY'S FAMOUS	10019.0	Hamburgers
41148810	TROPICAL SPANISH RESTAURANT	10032.0	Spanish
50071837	ZAI LAI	10019.0	Chinese
50047783	CAPPONE'S SALUMERIA	10004.0	Sandwiches
50083647	787 COFFEE	10009.0	Caf̩/Coffee/Tea
41639481	DISNEY ABC CAFETERIA	10023.0	American
40825868	KOSHER DELUXE	10036.0	Jewish/Kosher
50013144	JAKE'S CAFE EMPLOYEES CAFETERIA AT JAVED CENTER	10001.0	American
41594807	VIN SUR VINGT	10014.0	French
41696519	ONE MORE THAI	10002.0	Thai
41055930	GOLDING CAFE (NEW YORK UNIVERSITY LAW SCHOOL - VANDERBILT HALL)	10012.0	American
50000867	TABATA 2 JAPANESE NOODLE RESTAURANT	10018.0	Japanese
50047966	BAGEL BELLY	10003.0	Sandwiches/Salads/Mixed Buffet
50045332	ROWLAND'S BAR AND GRILL/CHEF STREET	10001.0	American
40395892	THE STUMBLE INN	10021.0	American
50002780	HOU YI HOT POT	10002.0	Chinese
41330867	POPEYES LOUISIANA KITCHEN	10011.0	Chicken
41159177	PROFESSOR THOM'S	10003.0	American
40395023	JING FONG RESTAURANT	10013.0	Chinese
50044537	BT3 AISLE A	10121.0	American
50015465	SIMIT SARAYI	10016.0	Turkish
