nRest,inspection_date,action,violation_code,violation_description,critical_flag,score,grade,inspection_type
41481310,04/09/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",NOT CRITICAL,10.0,A,Cycle Inspection / Initial Inspection
41182721,04/04/2018,No violations were recorded at the time of this inspection.,,,Not Applicable,0.0,A,Cycle Inspection / Initial Inspection
50072800,07/06/2018,Establishment re-opened by DOHMH,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,NOT CRITICAL,8.0,P,Cycle Inspection / Reopening Inspection
50064349,06/06/2017,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",NOT CRITICAL,,,Administrative Miscellaneous / Initial Inspection
40383281,06/16/2018,Violations were cited in the following area(s).,09B,Thawing procedures improper.,NOT CRITICAL,21.0,,Cycle Inspection / Initial Inspection
40669648,11/15/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11.0,A,Cycle Inspection / Initial Inspection
50012194,08/08/2018,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,19.0,B,Cycle Inspection / Re-inspection
50017063,12/29/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,not critical,10.0,A,Cycle Inspection / Initial Inspection
41461165,09/09/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",critical,9.0,,Cycle Inspection / Initial Inspection
50008263,06/16/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,A,Cycle Inspection / Re-inspection
50045572,09/07/2016,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,CRITICAL,12.0,A,Cycle Inspection / Initial Inspection
41477010,03/02/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,18.0,,Cycle Inspection / Initial Inspection
40402029,03/07/2017,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,16.0,,Cycle Inspection / Initial Inspection
50056971,12/15/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",CRITICAL,39.0,,Pre-permit (Operational) / Initial Inspection
50002191,10/15/2018,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,12.0,,Cycle Inspection / Initial Inspection
40678235,01/21/2016,Violations were cited in the following area(s).,20F,Current letter grade card not posted.,NOT CRITICAL,,,Administrative Miscellaneous / Initial Inspection
50074398,08/14/2018,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",NOT CRITICAL,45.0,,Pre-permit (Operational) / Initial Inspection
50006308,11/05/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,not critical,50.0,,Cycle Inspection / Initial Inspection
41265805,09/27/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,36.0,C,Cycle Inspection / Re-inspection
41446174,11/15/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",CRITICAL,7.0,A,Cycle Inspection / Re-inspection
50066476,08/15/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,11.0,A,Cycle Inspection / Re-inspection
50011613,08/21/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,14.0,,Cycle Inspection / Initial Inspection
41265619,02/21/2018,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,NOT CRITICAL,18.0,,Cycle Inspection / Initial Inspection
41541049,04/25/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,NOT CRITICAL,10.0,A,Cycle Inspection / Re-inspection
40710411,01/29/2018,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,9.0,A,Cycle Inspection / Initial Inspection
41641278,08/17/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,not critical,11.0,A,Cycle Inspection / Initial Inspection
50002662,06/01/2017,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,12.0,A,Cycle Inspection / Initial Inspection
41400695,02/23/2017,No violations were recorded at the time of this inspection.,,,NOT APPLICABLE,0.0,A,Cycle Inspection / Initial Inspection
50063002,04/02/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11.0,A,Cycle Inspection / Initial Inspection
50036698,06/20/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",CRITICAL,21.0,B,Cycle Inspection / Re-inspection
41445835,07/22/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,CRITICAL,25.0,,Cycle Inspection / Initial Inspection
50056438,01/10/2018,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,84.0,,Cycle Inspection / Initial Inspection
41707407,11/28/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A,Cycle Inspection / Re-inspection
41701806,10/11/2016,Violations were cited in the following area(s).,08B,"Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.",NOT CRITICAL,5.0,A,Cycle Inspection / Initial Inspection
41629236,12/29/2015,No violations were recorded at the time of this inspection.,,,Not Applicable,,,Trans Fat / Initial Inspection
41562276,05/29/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,20.0,,Cycle Inspection / Initial Inspection
41044065,07/30/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12.0,A,Cycle Inspection / Re-inspection
41164643,02/23/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",CRITICAL,9.0,A,Cycle Inspection / Re-inspection
41073631,04/11/2018,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,13.0,A,Cycle Inspection / Initial Inspection
50005370,03/15/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,NOT CRITICAL,12.0,A,Cycle Inspection / Initial Inspection
50019276,09/06/2016,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,26.0,,Cycle Inspection / Initial Inspection
50074478,04/16/2018,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,50.0,,Pre-permit (Operational) / Initial Inspection
40853174,08/17/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A,Cycle Inspection / Initial Inspection
41353915,01/04/2017,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,CRITICAL,18.0,,Cycle Inspection / Initial Inspection
50052328,11/24/2018,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,36.0,,Cycle Inspection / Initial Inspection
50079668,07/12/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",NOT CRITICAL,12.0,,Pre-permit (Operational) / Initial Inspection
41712970,11/20/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",NOT CRITICAL,6.0,A,Cycle Inspection / Initial Inspection
50056249,09/19/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,6.0,A,Cycle Inspection / Initial Inspection
41250529,09/09/2016,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,13.0,A,Cycle Inspection / Initial Inspection
50038816,08/01/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,CRITICAL,41.0,,Cycle Inspection / Initial Inspection
50050835,11/16/2018,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,2.0,A,Cycle Inspection / Initial Inspection
41641278,04/23/2015,Violations were cited in the following area(s).,20F,Current letter grade card not posted.,NOT CRITICAL,,,Administrative Miscellaneous / Initial Inspection
