camis,dba,zipcode,cuisine_description
41481310,FIVE GUYS FAMOUS BURGERS AND FRIES,,Hamburgers
41182721,RUFFLES BAR,11693.0,"Bottled beverages, including water, sodas, juices, etc."
50072800,ROCHDALE CHICKEN AND FISH,11434.0,Seafood
50064349,THE QUEENS FOOD COURT,11434.0,Soul Food
40383281,GABY'S PIZZA,11423.0,Pizza
40669648,J & S PIZZA,11422.0,Pizza
50012194,SUBWAY,11427.0,Sandwiches
50017063,MEZQUITE,11103.0,Mexican
41461165,NEW BRISAS LATINAS BAKERY RESTAURANT,11420.0,Spanish
50008263,REEF,11375.0,Mediterranean
50045572,DUMPLING,11355.0,Asian
41477010,DUTCH KILLS,11101.0,American
40402029,EL NUEVO IZALCO RESTAURANT,11377.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50056971,CHUNG KIWA RESTAURANT,11373.0,Korean
50002191,ALADDIN HOOKAH LOUNGE,11103.0,Middle Eastern
40678235,BOURBON STREET,11361.0,American
50074398,SPY C CUISINE,11375.0,Chinese
50006308,GASTROTECA ASTORIA,11106.0,Italian
41265805,BLEND,11101.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
41446174,L.I.E. HOT BAGEL,11364.0,Bagels/Pretzels
50066476,MERIT KABAB,11372.0,Bangladeshi
50011613,FLB'S PUB,11358.0,American
41265619,GUY R CAFE SNACK CORNER,11434.0,Caribbean
41541049,CHINA DRAGON,11105.0,Chinese
40710411,DONATO'S PIZZERIA RESTAURANT,11377.0,Pizza/Italian
41641278,OLD COUNTRY BAGEL,11414.0,Bagels/Pretzels
50002662,POPEYES LOUISIANA KITCHEN,11368.0,American
41400695,GOLDEN CARRIAGE,11354.0,Korean
50063002,MOMO ASHI,11354.0,Chinese
50036698,MACA RESTAURANT,11374.0,Peruvian
41445835,SAM WON GAHK,11354.0,Korean
50056438,KABAYAN FILIPINO RESTAURANT,11377.0,Filipino
41707407,GLENDALE DINER,11385.0,Mediterranean
41701806,SONRIE A LA FAMILIA,11370.0,Other
41629236,PIM POLLO,11369.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
41562276,GEORGE'S,11106.0,American
41044065,TURKISH GRILL RESTAURANT & BAR,11104.0,Turkish
41164643,YOGI RESTAURANT,11433.0,Caribbean
41073631,THE QUAYS,11103.0,Irish
50005370,NEW HO WAH CHINESE FOOD,11423.0,Chinese
