nRest	inspection_date	action	violation_code	violation_description	critical_flag	score	grade	inspection_type
41514880	02/07/2018	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	CRITICAL	20.0		Cycle Inspection / Initial Inspection
40663973	11/16/2017	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	31.0		Cycle Inspection / Initial Inspection
41316593	01/24/2018	Violations were cited in the following area(s).	06A	Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.	CRITICAL	9.0	A	Cycle Inspection / Re-inspection
40401316	11/14/2017	Violations were cited in the following area(s).	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	critical	25.0		Cycle Inspection / Initial Inspection
41698687	05/15/2017	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	20.0	B	Cycle Inspection / Re-inspection
41424557	06/30/2015	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	5.0	A	Cycle Inspection / Initial Inspection
41377474	11/05/2018	Establishment re-opened by DOHMH	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	NOT CRITICAL	3.0	Z	Cycle Inspection / Reopening Inspection
41543996	10/02/2014	Violations were cited in the following area(s).	15L	Smoke free workplace smoking policy inadequate, not posted, not provided to employees.	NOT CRITICAL			Smoke-Free Air Act / Re-inspection
41610229	02/24/2016	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	NOT CRITICAL	30.0		Cycle Inspection / Initial Inspection
41633999	12/28/2016	Violations were cited in the following area(s).	02B	Hot food item not held at or above 140Âº F.	Critical	9.0	A	Cycle Inspection / Initial Inspection
