nRest	inspection_date	action	violation_code	violation_description	critical_flag	score	grade	inspection_type
50008223	05/15/2018	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	NOT CRITICAL	8.0	A	Cycle Inspection / Initial Inspection
50055178	05/09/2018	Violations were cited in the following area(s).	04H	Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.	CRITICAL	19.0	B	Cycle Inspection / Re-inspection
50056591	10/17/2016	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	14.0		Pre-permit (Non-operational) / Initial Inspection
50002521	05/14/2018	Violations were cited in the following area(s).	06D	Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.	Critical	11.0	A	Cycle Inspection / Initial Inspection
41073776	11/10/2016	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	NOT CRITICAL	10.0	A	Cycle Inspection / Initial Inspection
41293283	05/01/2018	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	NOT CRITICAL	20.0		Cycle Inspection / Initial Inspection
50048632	01/30/2017	Violations were cited in the following area(s).	06E	Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.	Critical	15.0		Cycle Inspection / Initial Inspection
50066353	08/23/2017	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	critical	39.0		Pre-permit (Non-operational) / Initial Inspection
40369641	06/01/2016	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	27.0		Cycle Inspection / Initial Inspection
41377624	01/17/2018	Violations were cited in the following area(s).	06D	Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.	Critical	20.0	B	Cycle Inspection / Re-inspection
