camis	dba	zipcode	cuisine_description
50000293	KENNEDY FRIED CHICKEN	10456.0	Chicken
50042180	MARIO'S PIZZA 2	10459.0	Pizza
40536534	CASSIDY'S ALE HOUSE		American
40926214	LA MONEDA RESTAURANT	10453.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
50063280	ENZO'S OF ARTHUR AVE	10458.0	Italian
50001471	ROY'S RESTAURNT & BAR	10460.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
50065159	DELFINI	10474.0	American
50006474	Golden Eagle Diner	10461.0	American
40765358	HONG KONG RESTAURANT	10461.0	Chinese
41531373	POPEYES LOUISIANA KITCHEN	10451.0	Chicken
41450971	GIOVANNI'S RESTAURANT	10461.0	Pizza/Italian
40568964	BONA PIZZA	10455.0	Pizza/Italian
41350332	TOSCA MARQUEE	10465.0	American
41396660	NATHAN'S (STAND 312)	10451.0	American
50013993	NEW MAMA'S FRIED CHICKEN & PIZZA	10455.0	Chicken
41576098	JR PRIMOS RESTAURANT	10467.0	Spanish
41488662	PONTE EN FORMA	10462.0	American
41451597	TOM'S COFFEE SHOP	10457.0	Caf̩/Coffee/Tea
50053339	ANTHONY'S AND SALS PIZZA EXPRESS	10461.0	Pizza
50063475	N RICO CAFE	10459.0	American
41334692	PANCHO VILLA RESTAURANT	10453.0	Mexican
50053703	JOHN'S FRIED CHICKEN	10463.0	Spanish
50011777	CABO RESTAURANT	10465.0	Mexican
50033234	LEE'S KITCHEN	10467.0	Chinese
50017865	XING LONG CHINESE RESTUARANT	10456.0	Chinese
41140140	OHANA JAPANESE HIBACHI SEAFOOD & STEAK	10464.0	Japanese
40931569	JOE'S PIZZA	10466.0	Pizza
41358592	ZERO OTTO NOVE TRATTORIA	10458.0	Italian
50005892	KENNEDY FRIED CHICKEN	10475.0	Chicken
50017111	J J SPORT RESTAURANT	10458.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
50007468	TRIPLE 8 RESTAURANT	10455.0	Chinese
41435037	SALIMAR	10454.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
41149243	FULTON CAFE	10474.0	Caf̩/Coffee/Tea
50007933	CARIDAD RESTAURANT	10472.0	Spanish
41609062	PARADISE CAFE NY RESTAURANT	10452.0	Spanish
50018121	RANCH RESTAURANT	10460.0	Caribbean
50005702	DRAGON CONCOURSE	10452.0	Chinese
50046813	RED HOUSE	10456.0	Chinese
50063156	TWIN DONUT/BLIMPIES	10451.0	Bagels/Pretzels
40370150	JOHN MULLIGAN'S FIRESIDE PUB	10470.0	American
40554018	LA BELLA ROSA BAKERY	10457.0	Bakery
50042806	24 HOUR FITNESS CLUB	10463.0	Juice, Smoothies, Fruit Salads
40366748	MUNCH TIME DINER	10452.0	American
50052857	AL-AQSA RESTAURANT	10462.0	Bangladeshi
40945691	SANTA FE GRILL & BAR	10471.0	Mexican
50040892	BEST CHOICE CARIBBEAN RESTAURANT AND JUICE BAR	10466.0	Caribbean
50039510	KETSIE GROCERY	10455.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
40618281	PASQUALE'S RIGOLETTO RESTAURANT	10458.0	Italian
50056461	SAINT ANN'S CAFE RESTAURANT	10454.0	Spanish
50072911	JUANITO RESTAURANT	10454.0	Spanish
50001956	GOLDEN FOUNTAIN RESTAURANT	10466.0	Caribbean
50063019	SO BRO CAFE	10455.0	Soul Food
50011521	TCR CAFE	10463.0	American
50007746	BURGER KING	10471.0	Hamburgers
50051968	LA PARADA	10457.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
40366938	LULU'S COFFEE SHOP	10462.0	Caf̩/Coffee/Tea
50017456	SAPORE GOURMET	10461.0	Italian
41450971	GIOVANNI'S RESTAURANT	10461.0	Pizza/Italian
50042180	MARIO'S PIZZA 2	10459.0	Pizza
50004262	HALAL HUT FRIED CHICKEN & PIZZA	10457.0	Chicken
41233787	PANERA BREAD	10475.0	Sandwiches
41585763	NEW FLYING DRAGON	10472.0	Chinese
40837042	MALECON RESTAURANT		Latin (Cuban, Dominican, Puerto Rican, South & Central American)
50017416	DUNKIN' DONUTS	10460.0	Donuts
41620301	TACO VELOZ VIP	10454.0	Mexican
50057160	THROGGS NECK FRIED CHICKEN	10465.0	Chicken
50034109	CHEN XIN LUNG CHINESE RESTAURANT	10466.0	Chinese
40380253	RIVERDALE DINER	10463.0	American
41238222	COFFEE SHOP	10467.0	American
41255390	27 SPORTS BAR & CAFE	10452.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
41638031	MAMAJUANA CAFE	10461.0	Spanish
41049219	KENNEDY CHICKEN AND PIZZA	10459.0	Chicken
50069475	FRESH SMOOTHIES	10468.0	Sandwiches/Salads/Mixed Buffet
41357172	JUSTINE RESTAURANT	10452.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
41649416	ADAYA AFRICAN AMERICAN RESTAURANT	10457.0	African
50066139	La Patrona	10455.0	Mexican
50075547	ASMAU RESTAURANT	10460.0	African
41574568	EL NUEVO DELICIOSO RESTAURANT	10455.0	Spanish
41396660	NATHAN'S (STAND 312)	10451.0	American
41249600	GEORGES FAMILY RESTAURANT	10461.0	American
40367161	MARINA DELRAY	10465.0	American
41536647	HAVANA CAFE	10461.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
40398642	LA LECHONERA CRIOLLA	10457.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
40389011	BAGEL CAFE	10475.0	Delicatessen
50052504	MARKETPLACE AT MCGINLEY CENTER FORDHAM UNIVERSITY`	10458.0	American
50003077	LAURA'S PIZZA	10463.0	Italian
50048043	KING FRIED CHICKEN	10454.0	Chicken
41335337	LOBSTER BOX	10464.0	Seafood
41396668	STAND 218A DELTA SUITE	10451.0	American
41472740	DOUBLE DRAGON RESTAURANT	10456.0	Chinese
41314872	GIOVANNI'S	10452.0	Pizza
41064863	MCDONALD'S	10457.0	Hamburgers
41395226	DELICIOSO RESTAURANT	10455.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
50005314	KAI SUSHI ASIAN FUSION	10461.0	Japanese
40856176	VIVIENNE'S	10461.0	American
41548238	TOP CHOICE JAMAICAN RESTAURANT	10470.0	Caribbean
50013202	COSINITA	10467.0	Mexican
50002807	DUNKIN' DONUTS	10468.0	Donuts
41372259	ANN & TONY'S RESTAURANT	10458.0	Italian
50012902	NEW MING LIANG KITCHEN	10467.0	Chinese
50047119	GREAT WALL CHINESE RESTAURNAT	10458.0	Chinese
50079117	XINYA	10474.0	Chinese
50056873	LASH WEST INDIAN & AMERICAN CUISINE	10467.0	Caribbean
41124425	DYRE AVENUE DINER	10466.0	American
50057220	SUBWAY	10467.0	Sandwiches
50000188	HOME GARDEN	10457.0	Chinese
41696986	FORDHAM ROAD BAKERY	10468.0	Bakery
50004498	PEACHWAVE FROZEN YOGURT	10458.0	Ice Cream, Gelato, Yogurt, Ices
41206802	MORRONE PASTRY SHOP & CAFE	10458.0	Bakery
50042128	THE BRONX BEER HALL	10458.0	Italian
50041267	AL'S FAMOUS PIZZERIA	10467.0	Pizza/Italian
50060174	THE BOOGIE DOWN GRIND CAFE	10474.0	Caf̩/Coffee/Tea
40890407	CEA LO CAFE	10472.0	Soul Food
50043970	LA ISLA CUCHIFRITOS	10455.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
50039418	JUST ONE TAVERN	10470.0	Bottled beverages, including water, sodas, juices, etc.
41435782	LACONIA PIZZERIA	10466.0	Pizza/Italian
40747192	NONIS COFFEE SHOP	10471.0	American
41540355	LITTLE CAESARS	10468.0	Pizza
41657037	CHECKERS	10459.0	Hamburgers
41612549	DUNKIN' DONUTS	10461.0	Donuts
50042219	KENNEDY FRIED CHICKEN	10456.0	American
41637941	KENNEDY CHICKEN &SANDWICHES	10452.0	Chicken
50040892	BEST CHOICE CARIBBEAN RESTAURANT AND JUICE BAR	10466.0	Caribbean
50046567	PRINCE COFFEE HOUSE	10458.0	Caf̩/Coffee/Tea
41575062	GOLDEN KRUST CARIBBEAN BAKERY & GRILL	10466.0	Caribbean
41167453	EL MANGU SABROSO RESTAURANT	10468.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
50054609	CHINA WOK III	10458.0	Chinese
41450971	GIOVANNI'S RESTAURANT	10461.0	Pizza/Italian
50043559	HAINA RESTAURANT	10453.0	Spanish
41212707	KING HING RESTAURANT	10461.0	Chinese
50046567	PRINCE COFFEE HOUSE	10458.0	Caf̩/Coffee/Tea
41049219	KENNEDY CHICKEN AND PIZZA	10459.0	Chicken
50084206	NO 1 CHINESE RESTAURANT	10467.0	Chinese
50016195	GREAT WALL RESTAURANT	10468.0	Chinese
41429354	HAAGEN DAZS	10451.0	Ice Cream, Gelato, Yogurt, Ices
50035745	HAPPY LAND	10453.0	Chinese
50069991	EL TRAILERO RESTAURANT	10474.0	Spanish
41699785	APPLEBEE'S	10462.0	American
50000946	FRONT PAGE RESTAURANT	10466.0	Caribbean
41377624	HERO FACTORY	10455.0	Sandwiches
40387178	WHITE CASTLE	10458.0	Hamburgers
50002478	VILLA TAPIA RESTAURANT	10454.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
40941045	MARIO'S RESTAURANT	10458.0	Italian
50010284	KAIETEUR RESTAURANT	10466.0	Caribbean
40557901	LA ISLA CUCHIFRITOS		Latin (Cuban, Dominican, Puerto Rican, South & Central American)
50056932	PLATO Y RUMBA RESTAURANT	10468.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
50015696	AAA CARIDAD	10467.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
40744238	PICANTERIA EL BOTECITO	10454.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
50043387	LINDA PIZZA	10451.0	Pizza
50001890	3 D'S LEGACY SALAD & GRILL	10460.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
50085343	Giovanis Big Pizza	10459.0	Other
50013083	US KENNEDY FRIED CHICKEN	10457.0	Chicken
41443537	A&E TENOCHTITLAN DELI & TAQUERIA	10468.0	Mexican
40370150	JOHN MULLIGAN'S FIRESIDE PUB	10470.0	American
50005702	DRAGON CONCOURSE	10452.0	Chinese
41397450	DALLAS BBQ	10468.0	Barbecue
50066373	MI ROMANCE ECUATORIANO	10455.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
41563594	SCAGLIONE BROTHERS BAKERY	10461.0	Delicatessen
41380595	EL PRESIDENTE # 2 RESTAURANT	10467.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
40366938	LULU'S COFFEE SHOP	10462.0	Caf̩/Coffee/Tea
50011777	CABO RESTAURANT	10465.0	Mexican
50065012	MERCY CAFE	10461.0	American
41482516	SHANGERILA RESTAURANT		Japanese
40585102	NEW CAPITAL RESTAURANT	10468.0	American
50051745	ORCHARD BEACH SNACK BAR SECTION 5	10464.0	Caf̩/Coffee/Tea
41083735	PLAZA TULCINGO RESTAURANT	10452.0	Mexican
50033234	LEE'S KITCHEN	10467.0	Chinese
50013993	NEW MAMA'S FRIED CHICKEN & PIZZA	10455.0	Chicken
41418537	T.G.I. FRIDAY'S		American
50042695	FRECKLE JUICE	10466.0	Juice, Smoothies, Fruit Salads
41713504	ISIS RESTAURANT	10467.0	Mexican
50070809	The Kitchen	10470.0	American
40596246	GYRO KING	10468.0	Greek
41368569	TITA'S DONUTS AND COFFEE SHOP	10457.0	Bakery
41280104	NO 1 LUCK SUNG RESTAURANT	10458.0	Chinese
50046042	LA CANTINA	10458.0	Bottled beverages, including water, sodas, juices, etc.
41511660	EL ECONOMICO RESTAURANT	10463.0	Latin (Cuban, Dominican, Puerto Rican, South & Central American)
