track_id;track_name;track_artist;track_popularity;track_album_id;track_album_name;track_album_release_date
4ElX0PX2miGsMVsDJS2qqb;La Flaca - Acousique;Jarabe De Palo;27;52SGUmWz4rcauYwTKIJzBp;La Flaca - Edición 10º Aniversario;2006-06-23
15MJ5NThPjj6xhPcts8MiY;"Take My Breath Away - Love Theme from ""Top Gun""";Berlin;70;6K8iDZW8jPaoiqSzFFebJA;Top Gun - Motion Picture Soundtrack (Special Expanded Edition);1999-01-01
5Jp0avXwxgYt75sjxQJxWw;SWIM;BROCKHAMPTON;51;67smHJOf5YlFwad6dAlppm;SATURATION;2017-06-09
0ReSY5XOCFXFRooRS7hPxk;God Only Knows (GATTÜSO Remix);for KING & COUNTRY;52;5gdySuafgIrPQvdKzjbmIi;God Only Knows (GATTÜSO Remix);2019-05-31
67YkHJvLYOR1mKdpQSTsUr;Never Be Alone;TheFatRat;55;143O7KuRDYlHSTzjKtKvHD;Never Be Alone;2015-01-29
79cuOz3SPQTuFrp8WgftAu;There's Nothing Holdin' Me Back;Shawn Mendes;25;5yYFrOnqG8cEciKnsxHz2r;Illuminate (Deluxe);2017-04-20
7FHswZNIRuGrq58FLFvZsU;Non Stop;Hansie;41;5Qj4S3hn9naJLASReRuCvG;Non Stop;2017-08-28
7sQKy5vlPQllr0k9IjYJv3;Sigues Con El;Dimelo Flow;90;1y0pdsLO6cixGzAv7Sf8rf;Sigues Con El;2019-12-13
1gFMfqyVSXHMgvRloH2gDL;Paper Cuts;Dave;71;0bOYi2NpSA7BmCwmdszfCI;Paper Cuts;2019-11-07
1vjG2EShnUdbca0y1yb3xK;Dark Matter;Feathers;35;3EfsjaD3nMTQ55WSdY9LIE;If All Now Here;2013-05-27
7GLL5dU80NstXjcKlDMJmr;Wander With Me;Tom Misch;53;5IW5ko3B1W5doRD3YH9DV8;Beat Tape 2;2015-08-28
00GfGwzlSB8DoA0cDP2Eit;Tender Lover;Babyface;36;51fAXJ5bMn7DRSunXQ6PMb;Tender Lover;1989-07-07
0hpaWop2LUln6yJ7b0eOza;What Have I Done;Dermot Kennedy;66;7jGNAMzrW5HMXdxl9XyBMG;Without Fear;2019-10-04
027h5P3kCyktHv9dpHUBBS;Why Don't You Get A Job;The Offspring;8;5Jf9wK4k3A1rdH8YSBQg0J;Americana;1998-11-16
74uDOPHx4mvX6v4qSXiXnH;Estar Enamorado;Golpe a Golpe;0;2SgkDFM6n0WdhxBTPneycV;Puro Reggaeton Urbano;2010
5u7YjfqsRbUser2DXX8LN2;Wifeable (With Sax) feat. Xavier Omär;Masego;0;0lzDV5Jfk3TaCnes4ehDUu;Loose Thoughts;2016-07-27
5xLfQuX5YAfog2JgPz0dpA;Moving in Stereo;The Cars;56;4tJPWT4r4FSKwy784Qs1Fq;The Cars;1978-06-06
5C9SuiBZ0K8FYzypCT07JY;Too Close - Remastered;Next;4;5DyGKg106B5LCcjjbLzI3Z;New Jack Swing (The Ultimate Collection);2005-05-02
0bmB3nzQuHBfI6nM4SETVu;Surrender;Cash Cash;43;1TgJXcoFJ7BN0NiViN7wtx;Blood, Sweat & 3 Years;2016-06-24
6rXxAohZzTDsP5KT3IDFIU;Cúrame (feat. Manuel Turizo);Prince Royce;75;0BqAMr6G5Ag5xUNxxvmwpm;Cúrame (feat. Manuel Turizo);2019-06-07
7mBJbhptDV7z8KhPvsAoIN;Last Call - Karmon Remix;Alex Kennon;2;3skKs1f92KuOEqTA1Wt3le;Last Call (Karmon Remix);2017-06-02
