song_id;danceability;energy;key;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms
4IeUAegXVbETb7FpgNDnSM;0.643;0.592;1;-6,684;0.277;0.00475;1.54e-06;0.222;0.405;123.942;267920
3W6WaJa1wRQfbhqotaHtyM;0.655;0.486;9;-16,934;0.0337;0.00793;0.3;0.129;0.449;127.214;474333
0uwW1Duv6xlk2bNutlc7tu;0.862;0.545;11;-5,931;0.351;0.201;0.0;0.0482;0.546;149.972;118400
6SOBCABlykuNrO04rmXpLs;0.779;0.767;11;-5,462;0.258;0.00214;0.0;0.102;0.523;91.981;154565
084bAsP5BM5GdrkWyLZD9m;0.806;0.81;2;-6,021;0.089;0.0559;0.0;0.0851;0.884;153.955;241607
1WbJ98Gyys9WCX8jiLr6PZ;0.545;0.329;0;-6,083;0.0275;0.412;0.0;0.225;0.627;150.795;248712
3g1MMelMBxLjtKwcIVFe0N;0.781;0.855;8;-4,853;0.232;0.327;0.000248;0.247;0.311;118.112;192203
52IuMfbQa9aqRPz2oYPAI8;0.851;0.583;8;-11,022;0.286;0.0506;0.0;0.236;0.956;95.048;265102
3fmBFzP5khfnH8cyU6BAgl;0.267;0.387;4;-10,316;0.0372;0.0439;0.00697;0.742;0.0782;135.26;459600
5bqwpjoSR0rvWWp7QZuXfi;0.661;0.754;1;-8,905;0.0322;0.000742;0.299;0.0952;0.492;123.989;227306
3UaStdVN7y9A6ktTmkFDTk;0.591;0.759;5;-3,785;0.0404;0.0484;1.23e-06;0.108;0.235;130.043;203077
7ef4DlsgrMEH11cDZd32M6;0.791;0.862;9;-3,24;0.11;0.037;2.19e-05;0.0814;0.592;123.994;214847
2dYV8IuEYrz9DALtl3To8E;0.84;0.417;1;-11,148;0.215;0.401;0.0;0.335;0.802;78.979;270187
0rcuDEcrzF4Zo6ZbUEhaIn;0.622;0.312;3;-7,834;0.049;0.493;0.0;0.144;0.518;123.821;312920
3JXLO03HcIKzIB1xuDSDrR;0.931;0.534;6;-7,058;0.322;0.0411;0.0;0.162;0.517;97.979;228640
0WSjVLITbxV6kVXndziQDm;0.586;0.896;5;-4,132;0.372;0.00945;0.836;0.121;0.103;125.744;160000
10qPhu2ekexZziM2uztYL4;0.606;0.925;8;-4,261;0.0483;0.262;8.75e-05;0.116;0.316;128.013;319685
4oDcVoJb3xYz5RDyBzkRJY;0.744;0.849;4;-8,061;0.326;0.409;0.0;0.251;0.621;97.995;298867
4au7FRcgZzChASRYu279xH;0.736;0.868;8;-3,01;0.0454;0.166;1.48e-06;0.0419;0.613;94.026;181280
1b9yFGTYblk3jNF2g7fyBh;0.82;0.527;11;-9,517;0.252;0.139;0.0;0.0904;0.797;115.07;144011
7wh14WfsQ5zbURhm33hXYL;0.639;0.957;9;-6,039;0.558;0.156;0.0;0.348;0.692;135.958;133000
2JfnRptu8DCHHaykkjUhwD;0.9;0.491;1;-8,579;0.248;0.0484;0.0;0.255;0.578;129.979;181846
1Dc58SLkx9befq6ajSUCrW;0.51;0.526;8;-9,056;0.0513;0.129;0.92;0.143;0.474;127.704;131611
2e3fohSwZ9nU6Q2tks0fFz;0.635;0.823;5;-4,54;0.102;0.0833;0.000377;0.157;0.821;200.943;195467
3OUApyz3jDB3syGUNGqB1d;0.733;0.521;3;-3,657;0.0457;0.107;0.0;0.0692;0.525;112.913;294693
3qfoXvz6lLGKE8Ry0All1K;0.492;0.656;3;-8,495;0.0373;0.204;0.0928;0.114;0.487;141.997;181348
1HGpnAIot58B4mNtfn0arH;0.776;0.502;4;-11,465;0.133;0.116;0.895;0.095;0.48;123.025;444878
5l93giGtSBNAJUVj8hPygt;0.735;0.798;11;-5,811;0.121;0.0924;3.62e-06;0.0978;0.245;106.006;188491
1kuZSCuFZh718pUEMhgfSs;0.783;0.58;6;-7,398;0.298;0.0817;0.0;0.0831;0.762;93.026;284360
4dSS4hwl81hvbfMsIogJGZ;0.667;0.921;9;-4,142;0.073;0.00566;0.00696;0.151;0.659;103.005;190093
4akqDi0F86Avv9yhujAk9P;0.724;0.876;11;-5,854;0.0873;0.16;0.00278;0.116;0.812;92.169;234133
6IH24UGxxo7MM2IKhF3gsx;0.759;0.751;1;-6,194;0.0612;0.093;0.0;0.132;0.844;109.984;191080
35mMXfym6C9VOTUVrcKKZp;0.722;0.812;9;-3,352;0.0924;0.0205;2.51e-05;0.131;0.657;124.909;213041
5uDvSztILYXh5GF7Ku5gag;0.669;0.372;0;-9,599;0.207;0.887;0.0169;0.154;0.821;92.715;267989
7EgBkZlqWRwvjmyc115LLR;0.507;0.709;9;-6,751;0.0484;0.133;0.0;0.447;0.36;135.813;271673
3OZwlgcFBKdSQNIA5xSHsd;0.547;0.765;6;-5,795;0.519;0.0128;0.0;0.212;0.417;79.253;306307
7xSXEGgKFPLI5wpwdSaXOu;0.277;0.883;11;-5,921;0.049;4.23e-05;0.0595;0.0845;0.425;155.928;198800
1ndyl3wJCFs872XZ3ztPk6;0.743;0.709;3;-3,922;0.0879;0.0451;5.18e-06;0.0809;0.831;170.001;258600
3orspzb27SCSXJvtfg52I6;0.739;0.816;5;-8,053;0.0477;0.00274;0.00999;0.0827;0.598;121.001;208264
0s4iOHoggUmyJVT8xkF91t;0.853;0.809;4;-4,094;0.0427;0.171;0.0;0.156;0.959;140.045;215320
