nRest,inspection_date,action,violation_code,violation_description,critical_flag,score,grade,inspection_type
50012194,08/08/2018,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",CRITICAL,19.0,B,Cycle Inspection / Re-inspection
41037299,2018-12-06,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,,,Trans Fat / Initial Inspection
41438516,03/26/2018,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",NOT CRITICAL,21.0,,Cycle Inspection / Initial Inspection
50007657,06/19/2018,Establishment re-opened by DOHMH,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3.0,P,Cycle Inspection / Reopening Inspection
41306859,12/29/2016,Violations were cited in the following area(s).,09B,Thawing procedures improper.,not critical,12.0,A,Cycle Inspection / Initial Inspection
50074538,04/17/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,NOT CRITICAL,47.0,,Pre-permit (Operational) / Initial Inspection
41706083,03/08/2018,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,CRITICAL,29.0,,Cycle Inspection / Initial Inspection
41698643,03/07/2018,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,11.0,A,Cycle Inspection / Initial Inspection
40401543,03/14/2016,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,not critical,27.0,,Cycle Inspection / Initial Inspection
50040477,11/28/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,21.0,,Cycle Inspection / Initial Inspection
50047172,04/28/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",NOT CRITICAL,7.0,A,Cycle Inspection / Initial Inspection
50003622,03/29/2018,No violations were recorded at the time of this inspection.,,,NOT APPLICABLE,0.0,A,Cycle Inspection / Re-inspection
